model,dataset,tier,fold,auroc,splitter,n_prompt_groups
llama,gsm8k,T1: entropy_only,0,0.5868778280542987,StratifiedGroupKFold,200
llama,gsm8k,T1: entropy_only,1,0.6103133903133903,StratifiedGroupKFold,200
llama,gsm8k,T1: entropy_only,2,0.6441936441936442,StratifiedGroupKFold,200
llama,gsm8k,T1: entropy_only,3,0.5326997326997327,StratifiedGroupKFold,200
llama,gsm8k,T1: entropy_only,4,0.5434267775513577,StratifiedGroupKFold,200
llama,gsm8k,T2: confidence_baseline,0,0.5991251885369533,StratifiedGroupKFold,200
llama,gsm8k,T2: confidence_baseline,1,0.6089173789173788,StratifiedGroupKFold,200
llama,gsm8k,T2: confidence_baseline,2,0.6346599346599346,StratifiedGroupKFold,200
llama,gsm8k,T2: confidence_baseline,3,0.5462429462429462,StratifiedGroupKFold,200
llama,gsm8k,T2: confidence_baseline,4,0.625075728369224,StratifiedGroupKFold,200
llama,gsm8k,T3: + prompt_signals,0,0.5680241327300151,StratifiedGroupKFold,200
llama,gsm8k,T3: + prompt_signals,1,0.46239316239316247,StratifiedGroupKFold,200
llama,gsm8k,T3: + prompt_signals,2,0.537154737154737,StratifiedGroupKFold,200
llama,gsm8k,T3: + prompt_signals,3,0.5951885951885951,StratifiedGroupKFold,200
llama,gsm8k,T3: + prompt_signals,4,0.6278294872500964,StratifiedGroupKFold,200
llama,gsm8k,T4: + early_window,0,0.5703167420814479,StratifiedGroupKFold,200
llama,gsm8k,T4: + early_window,1,0.5892877492877493,StratifiedGroupKFold,200
llama,gsm8k,T4: + early_window,2,0.6594594594594595,StratifiedGroupKFold,200
llama,gsm8k,T4: + early_window,3,0.5784377784377784,StratifiedGroupKFold,200
llama,gsm8k,T4: + early_window,4,0.6881643443300104,StratifiedGroupKFold,200
llama,gsm8k,T5: + health_signals,0,0.5773152337858221,StratifiedGroupKFold,200
llama,gsm8k,T5: + health_signals,1,0.5888319088319088,StratifiedGroupKFold,200
llama,gsm8k,T5: + health_signals,2,0.6526878526878527,StratifiedGroupKFold,200
