model,dataset,tier,n_features,mean_auroc,std_auroc,ci_lower,ci_upper,n_folds,n_samples,n_prompt_groups,splitter
llama,gsm8k,T1: entropy_only,1,0.5835022745624847,0.04147436884943785,0.5471483873985575,0.6198561617264119,5,1641,200,StratifiedGroupKFold
llama,gsm8k,T2: confidence_baseline,3,0.6028042353452874,0.030857382633690783,0.575756546916039,0.6298519237745358,5,1641,200,StratifiedGroupKFold
llama,gsm8k,T3: + prompt_signals,12,0.5581180229433212,0.056453086491163755,0.5086347108812257,0.6076013350054168,5,1641,200,StratifiedGroupKFold
llama,gsm8k,T4: + early_window,30,0.6171332147192891,0.047542446743820736,0.5754604227668372,0.6588060066717409,5,1641,200,StratifiedGroupKFold
llama,gsm8k,T5: + health_signals,44,0.6149226128713541,0.04881456210020247,0.5721347626453626,0.6577104630973456,5,1641,200,StratifiedGroupKFold
llama,gsm8k,T6: full_corevital,104,0.6351863112825569,0.03371432410469511,0.6056344032412422,0.6647382193238716,5,1641,200,StratifiedGroupKFold
llama,humaneval,T1: entropy_only,1,0.515892378934744,0.016659643667850686,0.5012895574116267,0.5304952004578614,5,1640,164,StratifiedGroupKFold
llama,humaneval,T2: confidence_baseline,3,0.5001420316715695,0.019679089017440976,0.4828925496064886,0.5173915137366504,5,1640,164,StratifiedGroupKFold
llama,humaneval,T3: + prompt_signals,12,0.5526003878015205,0.053101098467124304,0.5060552227873798,0.5991455528156613,5,1640,164,StratifiedGroupKFold
llama,humaneval,T4: + early_window,30,0.5649070680204955,0.04342961770389416,0.5268393296707832,0.6029748063702078,5,1640,164,StratifiedGroupKFold
llama,humaneval,T5: + health_signals,44,0.5615115658555448,0.03312575786003544,0.5324755588740999,0.5905475728369898,5,1640,164,StratifiedGroupKFold
llama,humaneval,T6: full_corevital,104,0.6133973769856982,0.02891014635672083,0.5880565164084047,0.6387382375629916,5,1640,164,StratifiedGroupKFold
mistral7b,gsm8k,T1: entropy_only,1,0.6182525902279676,0.06129555424985278,0.5645246680276584,0.6719805124282768,5,555,165,StratifiedGroupKFold
mistral7b,gsm8k,T2: confidence_baseline,3,0.6382752608769253,0.05862339813254399,0.5868895867847355,0.6896609349691152,5,555,165,StratifiedGroupKFold
mistral7b,gsm8k,T3: + prompt_signals,12,0.6762726088446748,0.08117419848903314,0.6051202867151836,0.747424930974166,5,555,165,StratifiedGroupKFold
mistral7b,gsm8k,T4: + early_window,30,0.7026740110057714,0.06199263040821376,0.6483350746126311,0.7570129473989118,5,555,165,StratifiedGroupKFold
mistral7b,gsm8k,T5: + health_signals,44,0.7052708305573783,0.06259257336013119,0.6504060209807792,0.7601356401339774,5,555,165,StratifiedGroupKFold
mistral7b,gsm8k,T6: full_corevital,104,0.6702277157849396,0.05582262988380433,0.6212970233045645,0.7191584082653146,5,555,165,StratifiedGroupKFold
mistral7b,humaneval,T1: entropy_only,1,0.4948027667319068,0.08414960732356462,0.4210423837677882,0.5685631496960254,5,1640,164,StratifiedGroupKFold
mistral7b,humaneval,T2: confidence_baseline,3,0.5121799883402843,0.03426781200088875,0.48214292676720955,0.5422170499133591,5,1640,164,StratifiedGroupKFold
mistral7b,humaneval,T3: + prompt_signals,12,0.510333619770266,0.04216065160669046,0.47337817924671377,0.5472890602938183,5,1640,164,StratifiedGroupKFold
mistral7b,humaneval,T4: + early_window,30,0.7585183985970259,0.06715845827872009,0.6996514144307077,0.817385382763344,5,1640,164,StratifiedGroupKFold
mistral7b,humaneval,T5: + health_signals,44,0.7603729526313721,0.06865417832151895,0.700194912042179,0.8205509932205651,5,1640,164,StratifiedGroupKFold
mistral7b,humaneval,T6: full_corevital,104,0.7659656763844627,0.0450260792623054,0.7264985777800658,0.8054327749888596,5,1640,164,StratifiedGroupKFold
mixtral,gsm8k,T1: entropy_only,1,0.6088389146637815,0.03968126313758871,0.5740567539547692,0.6436210753727938,5,758,165,StratifiedGroupKFold
mixtral,gsm8k,T2: confidence_baseline,3,0.588392876049121,0.0649634802031937,0.5314498749957143,0.6453358771025278,5,758,165,StratifiedGroupKFold
mixtral,gsm8k,T3: + prompt_signals,12,0.5460705646382442,0.04781374438960425,0.5041599698143742,0.5879811594621143,5,758,165,StratifiedGroupKFold
mixtral,gsm8k,T4: + early_window,30,0.5367183977448166,0.035397853251990914,0.5056908113422431,0.56774598414739,5,758,165,StratifiedGroupKFold
mixtral,gsm8k,T5: + health_signals,44,0.5365242481826757,0.026123797686738146,0.5136257298991405,0.559422766466211,5,758,165,StratifiedGroupKFold
mixtral,gsm8k,T6: full_corevital,104,0.6501500769661253,0.027883081475399345,0.6257094784504713,0.6745906754817792,5,758,165,StratifiedGroupKFold
mixtral,humaneval,T1: entropy_only,1,0.5332741594367888,0.06034624133342481,0.4803783466959958,0.5861699721775818,5,1620,162,StratifiedGroupKFold
mixtral,humaneval,T2: confidence_baseline,3,0.5709670512969487,0.06435365782616737,0.5145585831249206,0.6273755194689767,5,1620,162,StratifiedGroupKFold
mixtral,humaneval,T3: + prompt_signals,12,0.5673862628241159,0.07385642314312642,0.5026482535966923,0.6321242720515394,5,1620,162,StratifiedGroupKFold
mixtral,humaneval,T4: + early_window,30,0.7620373226213947,0.050763170142101084,0.7175414421384734,0.806533203104316,5,1620,162,StratifiedGroupKFold
mixtral,humaneval,T5: + health_signals,44,0.7740088147488882,0.05543248140036379,0.7254201024923873,0.822597527005389,5,1620,162,StratifiedGroupKFold
mixtral,humaneval,T6: full_corevital,104,0.8199883068189464,0.03552301680323662,0.7888510097264879,0.8511256039114049,5,1620,162,StratifiedGroupKFold
qwen,gsm8k,T1: entropy_only,1,0.4982305993935793,0.045187633939314464,0.45862189187115127,0.5378393069160073,5,1909,200,StratifiedGroupKFold
qwen,gsm8k,T2: confidence_baseline,3,0.5535719104206517,0.0314376417831603,0.5260156024215135,0.5811282184197899,5,1909,200,StratifiedGroupKFold
qwen,gsm8k,T3: + prompt_signals,12,0.542195429015752,0.09157383407268231,0.46192742438060486,0.6224634336508992,5,1909,200,StratifiedGroupKFold
qwen,gsm8k,T4: + early_window,30,0.5778241611052246,0.06509423726266923,0.5207665464357959,0.6348817757746533,5,1909,200,StratifiedGroupKFold
qwen,gsm8k,T5: + health_signals,44,0.5665904140137068,0.06350370359954707,0.5109269635696454,0.6222538644577682,5,1909,200,StratifiedGroupKFold
qwen,gsm8k,T6: full_corevital,104,0.60329589370215,0.054893982231150065,0.5551791967789392,0.6514125906253607,5,1909,200,StratifiedGroupKFold
qwen,humaneval,T1: entropy_only,1,0.6857135026491601,0.03152975089423435,0.6580764574544081,0.713350547843912,5,1640,164,StratifiedGroupKFold
qwen,humaneval,T2: confidence_baseline,3,0.7336882438038944,0.04735190243392631,0.6921824713030652,0.7751940163047236,5,1640,164,StratifiedGroupKFold
qwen,humaneval,T3: + prompt_signals,12,0.7333405735050648,0.05424723148343597,0.685790778607318,0.7808903684028116,5,1640,164,StratifiedGroupKFold
qwen,humaneval,T4: + early_window,30,0.8508887203211755,0.040447530380345924,0.8154348967598184,0.8863425438825325,5,1640,164,StratifiedGroupKFold
qwen,humaneval,T5: + health_signals,44,0.8476031389825124,0.03601732101162309,0.8160325651479394,0.8791737128170853,5,1640,164,StratifiedGroupKFold
qwen,humaneval,T6: full_corevital,104,0.9004722573196616,0.015616412243692254,0.8867838684577717,0.9141606461815516,5,1640,164,StratifiedGroupKFold
