model,dataset,confidence_bin,bin_median_confidence,n,accuracy,n_correct,n_incorrect
llama,gsm8k,"(0.636, 0.799]",0.7676096858922392,329,0.6595744680851063,217,112
llama,gsm8k,"(0.799, 0.843]",0.8227488492634041,328,0.7926829268292683,260,68
llama,gsm8k,"(0.843, 0.876]",0.8595003458915405,328,0.8170731707317073,268,60
llama,gsm8k,"(0.876, 0.911]",0.8940190255814862,328,0.8597560975609756,282,46
llama,gsm8k,"(0.911, 0.98]",0.9340471928735496,328,0.875,287,41
llama,humaneval,"(0.573, 0.882]",0.8513203318725573,328,0.31402439024390244,103,225
llama,humaneval,"(0.882, 0.908]",0.8984646978860837,328,0.29573170731707316,97,231
llama,humaneval,"(0.908, 0.928]",0.9188968364906032,328,0.21341463414634146,70,258
llama,humaneval,"(0.928, 0.95]",0.9392109380569309,328,0.24085365853658536,79,249
llama,humaneval,"(0.95, 0.993]",0.9632985168209416,328,0.3353658536585366,110,218
mistral7b,gsm8k,"(0.732, 0.844]",0.8266360294937298,111,0.43243243243243246,48,63
mistral7b,gsm8k,"(0.844, 0.866]",0.854248781060731,111,0.4954954954954955,55,56
mistral7b,gsm8k,"(0.866, 0.885]",0.8745512875221653,111,0.5225225225225225,58,53
mistral7b,gsm8k,"(0.885, 0.908]",0.8954103077508481,111,0.6036036036036037,67,44
mistral7b,gsm8k,"(0.908, 0.964]",0.9218631048304166,111,0.8198198198198198,91,20
mistral7b,humaneval,"(0.643, 0.855]",0.8299360766448614,328,0.06707317073170732,22,306
mistral7b,humaneval,"(0.855, 0.885]",0.8720371409535362,328,0.04878048780487805,16,312
mistral7b,humaneval,"(0.885, 0.905]",0.8958222863867544,328,0.0701219512195122,23,305
mistral7b,humaneval,"(0.905, 0.925]",0.9147398225334119,328,0.06707317073170732,22,306
mistral7b,humaneval,"(0.925, 0.983]",0.939603900587547,328,0.06402439024390244,21,307
mixtral,gsm8k,"(0.694, 0.837]",0.8152829615157593,152,0.6118421052631579,93,59
mixtral,gsm8k,"(0.837, 0.865]",0.8525737889788367,151,0.6225165562913907,94,57
mixtral,gsm8k,"(0.865, 0.89]",0.8779167099091003,152,0.6644736842105263,101,51
mixtral,gsm8k,"(0.89, 0.912]",0.9010769127179747,151,0.8013245033112583,121,30
mixtral,gsm8k,"(0.912, 0.973]",0.9260481928661806,152,0.8289473684210527,126,26
mixtral,humaneval,"(0.707, 0.874]",0.8551833004768983,324,0.05864197530864197,19,305
mixtral,humaneval,"(0.874, 0.901]",0.8892066356464259,324,0.037037037037037035,12,312
mixtral,humaneval,"(0.901, 0.922]",0.9109307341491236,324,0.05864197530864197,19,305
mixtral,humaneval,"(0.922, 0.943]",0.932608496851715,324,0.024691358024691357,8,316
mixtral,humaneval,"(0.943, 0.995]",0.95808640299947,324,0.027777777777777776,9,315
qwen,gsm8k,"(0.637, 0.812]",0.7874284190079331,382,0.19895287958115182,76,306
qwen,gsm8k,"(0.812, 0.847]",0.8309977360768244,382,0.2486910994764398,95,287
qwen,gsm8k,"(0.847, 0.873]",0.8607858388859313,381,0.26246719160104987,100,281
qwen,gsm8k,"(0.873, 0.901]",0.8860442439764011,382,0.23036649214659685,88,294
qwen,gsm8k,"(0.901, 0.971]",0.9217559033859288,382,0.27225130890052357,104,278
qwen,humaneval,"(0.519, 0.786]",0.7490705881697498,328,0.039634146341463415,13,315
qwen,humaneval,"(0.786, 0.835]",0.8147025007628254,328,0.04878048780487805,16,312
qwen,humaneval,"(0.835, 0.873]",0.852718097627066,328,0.051829268292682924,17,311
qwen,humaneval,"(0.873, 0.912]",0.8907409363904262,328,0.14939024390243902,49,279
qwen,humaneval,"(0.912, 0.991]",0.9346910142194247,328,0.20426829268292682,67,261
