model,dataset,signal,predictive_power_in_confident,confident_correct_mean,confident_wrong_mean,delta,n_confident_correct,n_confident_wrong
llama,gsm8k,attn_entropy_norm_mean,0.5138042005420054,0.3523744913391557,0.3526094532073269,0.0002349618681711796,288,41
llama,gsm8k,attn_entropy_norm_std,0.5917174796747968,0.1299575947868228,0.13161306394901542,0.0016554691621926132,288,41
llama,gsm8k,collapsed_rate_mean,0.5011009485094851,0.011516752010634679,0.011526583836196341,9.83182556166251e-06,288,41
llama,gsm8k,collapsed_rate_mean_zscore,0.5011009485094851,0.1284302883641578,0.13101545578848073,0.0025851674243229372,288,41
llama,gsm8k,compound_density_per_100t,0.5092310298102981,0.2031865519945435,0.19586255911578723,-0.007323992878756264,288,41
llama,gsm8k,concentration_max_mean,0.516260162601626,0.9226886488105264,0.9221451983573973,-0.0005434504531290907,288,41
llama,gsm8k,concentration_min_mean,0.5266768292682927,0.1877699753841004,0.1873262059850138,-0.0004437693990866076,288,41
llama,gsm8k,cs_confident_repetition_risk,0.5017361111111112,0.9965277777777778,1.0,0.00347222222222221,288,41
llama,gsm8k,early10_entropy_mean,0.5436144986449865,0.7735571776151575,0.8357998789221597,0.06224270130700216,288,41
llama,gsm8k,early10_entropy_slope,0.5564871273712737,-0.04184153662492983,-0.027812427833065177,0.014029108791864652,288,41
llama,gsm8k,early10_margin_mean,0.5453929539295392,0.6737392030863298,0.6590652217952216,-0.014673981291108196,288,41
llama,gsm8k,early10_margin_slope,0.5282012195121951,0.011712801744314758,0.0090084256415709,-0.002704376102743858,288,41
llama,gsm8k,early10_surprisal_mean,0.5026253387533876,0.7439375926841694,0.7637530537158205,0.019815461031651105,288,41
llama,gsm8k,early10_surprisal_slope,0.5434451219512195,-0.025235114199599475,-0.006953313915807319,0.018281800283792157,288,41
llama,gsm8k,early25p_entropy_mean,0.6159383468834688,0.3470509769785795,0.39001321775672504,0.04296224077814553,288,41
llama,gsm8k,early25p_entropy_slope,0.5512364498644986,-0.003640959749104586,-0.004180944077181437,-0.0005399843280768511,288,41
llama,gsm8k,early25p_margin_mean,0.5987466124661247,0.8321449384010403,0.818410948054909,-0.01373399034613132,288,41
llama,gsm8k,early25p_margin_slope,0.5573340108401084,0.0015423236726572248,0.0017171905562639003,0.00017486688360667554,288,41
llama,gsm8k,early25p_surprisal_mean,0.5837567750677507,0.33974912353687226,0.37885012396644,0.03910100042956777,288,41
llama,gsm8k,early25p_surprisal_slope,0.5128726287262872,-0.003683299512522776,-0.00396214550104192,-0.00027884598851914393,288,41
llama,gsm8k,early50p_entropy_mean,0.6331300813008129,0.24875888554522962,0.280837583350387,0.032078697805157375,288,41
llama,gsm8k,early50p_entropy_slope,0.5410738482384825,-0.0018687277246008487,-0.001985208991613586,-0.00011648126701273732,288,41
llama,gsm8k,early50p_margin_mean,0.5943428184281843,0.8793123158091665,0.8694632403740138,-0.009849075435152677,288,41
llama,gsm8k,early50p_margin_slope,0.5330284552845528,0.0008772223355634351,0.0009119581551889156,3.473581962548048e-05,288,41
llama,gsm8k,early50p_surprisal_mean,0.6242378048780488,0.2414909204933904,0.2772616765086118,0.03577075601522137,288,41
llama,gsm8k,early50p_surprisal_slope,0.5252371273712738,-0.0018777722066664992,-0.0018632235454786746,1.4548661187824621e-05,288,41
