model,dataset,signal,pp_easy,pp_medium,pp_hard,pp_range,best_band
llama,gsm8k,collapsed_rate_mean,0.6355555555555555,0.5543279535997983,0.5150663085445695,0.12048924701098607,easy
llama,gsm8k,compound_density_per_100t,0.5822222222222223,0.572153574580759,0.5249202618767835,0.057301960345438774,easy
llama,gsm8k,concentration_min_mean,0.6888888888888889,0.5290316479636868,0.5226708074534161,0.1662180814354728,easy
llama,gsm8k,early10_entropy_mean,0.5496296296296297,0.5993884756020678,0.5393192882323318,0.06006918736973599,medium
llama,gsm8k,early10_surprisal_mean,0.5422222222222223,0.5985531458832429,0.5420765485982877,0.05647659728495524,medium
llama,gsm8k,entropy_mean,0.5096296296296297,0.6295549111083092,0.6455514520731912,0.13592182244356155,hard
llama,gsm8k,entropy_std,0.5496296296296297,0.6486729290127349,0.6462145375188852,0.09904329938310519,medium
llama,gsm8k,focused_head_rate,0.5466666666666666,0.5171242592359098,0.5148396844049018,0.031826982261764836,easy
llama,gsm8k,hidden_max_abs_last_layer_mean,0.5274074074074074,0.5920123565754634,0.5518129931173409,0.06460494916805593,medium
llama,gsm8k,l2_norm_slope,0.5437037037037037,0.5094880847308032,0.5174920261876784,0.034215618972900486,easy
llama,gsm8k,margin_mean,0.5377777777777777,0.6090184087756902,0.6375860332382072,0.09980825546042948,hard
llama,gsm8k,margin_std,0.5007407407407407,0.609286344723238,0.6326926305187175,0.13195188977797678,hard
llama,gsm8k,perplexity_mean,0.5318518518518519,0.6431250788046905,0.6474903474903475,0.1156384956384956,hard
llama,gsm8k,risk_score,0.6681481481481482,0.5627127726642289,0.5607604498908847,0.10738769825726346,easy
llama,gsm8k,surprisal_mean,0.5155555555555554,0.6284831673181188,0.6395836830619439,0.12402812750638847,hard
llama,humaneval,collapsed_rate_mean,,0.7683566433566433,0.5833599332394512,0.1849967101171921,medium
llama,humaneval,compound_density_per_100t,,0.5,0.5033922703802223,0.003392270380222273,hard
llama,humaneval,concentration_min_mean,,0.5061188811188811,0.501461430136129,0.004657450982752165,medium
llama,humaneval,early10_entropy_mean,,0.5340909090909091,0.558842121733688,0.024751212642778908,hard
llama,humaneval,early10_surprisal_mean,,0.5472027972027973,0.5618014916810097,0.014598694478212382,hard
llama,humaneval,entropy_mean,,0.6188811188811189,0.5128983466332864,0.10598277224783248,medium
llama,humaneval,entropy_std,,0.6171328671328671,0.5328347154853179,0.08429815164754917,medium
llama,humaneval,focused_head_rate,,0.7683566433566433,0.5583268137485005,0.21002982960814287,medium
llama,humaneval,hidden_max_abs_last_layer_mean,,0.6765734265734266,0.5741834871955354,0.1023899393778912,medium
llama,humaneval,l2_norm_slope,,0.5708041958041958,0.5622072706410056,0.008596925163190217,medium
llama,humaneval,margin_mean,,0.6206293706293706,0.5040087623220153,0.11662060830735532,medium
llama,humaneval,margin_std,,0.6328671328671329,0.5112230741146404,0.12164405875249251,medium
llama,humaneval,perplexity_mean,,0.6136363636363636,0.5279445052939029,0.08569185834246074,medium
llama,humaneval,risk_score,,0.5743006993006993,0.512679288582903,0.061621410717796254,medium
llama,humaneval,surprisal_mean,,0.6354895104895104,0.5119303186773065,0.12355919181220387,medium
mistral7b,gsm8k,collapsed_rate_mean,0.8571428571428572,0.5249366018596788,0.5028721278721279,0.35427072927072933,easy
mistral7b,gsm8k,compound_density_per_100t,0.9166666666666666,0.5918651484262344,0.5553821178821179,0.36128454878454874,easy
mistral7b,gsm8k,concentration_min_mean,0.5238095238095237,0.5974839639998011,0.555944055944056,0.07367444019027736,medium
mistral7b,gsm8k,early10_entropy_mean,0.5714285714285714,0.6504151956640645,0.5521353646353646,0.09827983102869986,medium
mistral7b,gsm8k,early10_surprisal_mean,0.5476190476190476,0.6238874247924022,0.5166708291708291,0.10721659562157315,medium
mistral7b,gsm8k,entropy_mean,0.7619047619047619,0.6641141663766098,0.6185064935064936,0.1433982683982683,easy
mistral7b,gsm8k,entropy_std,0.8214285714285714,0.6583461787081697,0.6075174825174825,0.2139110889110889,easy
mistral7b,gsm8k,focused_head_rate,0.5238095238095237,0.5833623390184476,0.5626873126873126,0.05955281520892386,medium
mistral7b,gsm8k,hidden_max_abs_last_layer_mean,0.8809523809523809,0.5581522549848341,0.5158591408591409,0.36509324009324007,easy
