model,dataset,difficulty_band,diff_lo,diff_hi,signal,predictive_power,n,class_balance
llama,gsm8k,easy,0.0,0.33,entropy_mean,0.5096296296296297,84,0.8928571428571429
llama,gsm8k,easy,0.0,0.33,surprisal_mean,0.5155555555555554,84,0.8928571428571429
llama,gsm8k,easy,0.0,0.33,margin_mean,0.5377777777777777,84,0.8928571428571429
llama,gsm8k,easy,0.0,0.33,l2_norm_slope,0.5437037037037037,84,0.8928571428571429
llama,gsm8k,easy,0.0,0.33,compound_density_per_100t,0.5822222222222223,84,0.8928571428571429
llama,gsm8k,easy,0.0,0.33,early10_surprisal_mean,0.5422222222222223,84,0.8928571428571429
llama,gsm8k,easy,0.0,0.33,early10_entropy_mean,0.5496296296296297,84,0.8928571428571429
llama,gsm8k,easy,0.0,0.33,risk_score,0.6681481481481482,84,0.8928571428571429
llama,gsm8k,easy,0.0,0.33,concentration_min_mean,0.6888888888888889,84,0.8928571428571429
llama,gsm8k,easy,0.0,0.33,focused_head_rate,0.5466666666666666,84,0.8928571428571429
llama,gsm8k,easy,0.0,0.33,entropy_std,0.5496296296296297,84,0.8928571428571429
llama,gsm8k,easy,0.0,0.33,margin_std,0.5007407407407407,84,0.8928571428571429
llama,gsm8k,easy,0.0,0.33,perplexity_mean,0.5318518518518519,84,0.8928571428571429
llama,gsm8k,easy,0.0,0.33,collapsed_rate_mean,0.6355555555555555,84,0.8928571428571429
llama,gsm8k,easy,0.0,0.33,hidden_max_abs_last_layer_mean,0.5274074074074074,84,0.8928571428571429
llama,gsm8k,medium,0.33,0.67,entropy_mean,0.6295549111083092,809,0.8912237330037083
llama,gsm8k,medium,0.33,0.67,surprisal_mean,0.6284831673181188,809,0.8912237330037083
llama,gsm8k,medium,0.33,0.67,margin_mean,0.6090184087756902,809,0.8912237330037083
llama,gsm8k,medium,0.33,0.67,l2_norm_slope,0.5094880847308032,809,0.8912237330037083
llama,gsm8k,medium,0.33,0.67,compound_density_per_100t,0.572153574580759,809,0.8912237330037083
llama,gsm8k,medium,0.33,0.67,early10_surprisal_mean,0.5985531458832429,809,0.8912237330037083
llama,gsm8k,medium,0.33,0.67,early10_entropy_mean,0.5993884756020678,809,0.8912237330037083
llama,gsm8k,medium,0.33,0.67,risk_score,0.5627127726642289,809,0.8912237330037083
