signal,llama,mistral7b,mixtral,qwen
compound_density_per_100t,0.10445741315267582,0.19400816021443454,0.107403912228017,0.15723042777511048
early50p_entropy_mean,-0.20691822744884347,-0.17410078327651587,-0.15896696368288674,-0.09770770789762998
early50p_margin_mean,0.19359419816514375,0.1857247681195181,0.14802476925560112,0.07427020747470182
early50p_surprisal_mean,-0.19493226790952398,-0.14887895220111735,-0.14745981615162043,-0.1108514205042856
entropy_diff_std,-0.20841006216340008,-0.1944501675730433,-0.18871260727297334,-0.07478943944453786
entropy_max,-0.15529799672219943,-0.17356085514763875,-0.10179731462163046,-0.13626376037414017
entropy_mean,-0.20639016835011811,-0.23628501472050262,-0.22271945439511598,-0.07904886192948636
entropy_p90,-0.19687237041156813,-0.23304609307342178,-0.21163079519946268,-0.09216855785426739
entropy_range,-0.15529799672219943,-0.17356085514763875,-0.10179731462163046,-0.13626376037414017
entropy_std,-0.20978108522970515,-0.231274269971397,-0.2050163057424362,-0.11057503052261333
late50p_entropy_mean,-0.14445475312120756,-0.23116517370516937,-0.22345676681268511,-0.04126240063388069
late50p_margin_mean,0.1390213412745524,0.224144093529948,0.20993446441506697,0.022515970153480083
late50p_surprisal_mean,-0.14217523826600792,-0.1848951934315083,-0.20512146457157998,-0.044077217548685654
margin_mean,0.19110645961828554,0.24347890689558285,0.20996229935276972,0.05393702079195453
margin_std,-0.17295549823249967,-0.2531088493278468,-0.19203615171636257,-0.05716223409920533
perplexity_max,-0.1384761208413803,-0.1555352590106017,-0.10290492640535821,-0.10773916151952553
perplexity_mean,-0.20146942147293634,-0.2230383671529666,-0.20934043875406194,-0.08739175794465052
surprisal_diff_std,-0.19153220571552623,-0.17941651543119813,-0.17611403470964093,-0.09029864684111445
surprisal_max,-0.1491617706237701,-0.20757523237435913,-0.11449890482308568,-0.11734995971239168
surprisal_mean,-0.20063959997623138,-0.19855549897577407,-0.20933294222425575,-0.08928571596585237
surprisal_p90,-0.19808146149898337,-0.2047166201831731,-0.1981578000240431,-0.0823171823360447
surprisal_range,-0.1491617706237701,-0.20757523237435913,-0.11449890482308568,-0.11734995971239168
surprisal_std,-0.19774701888381552,-0.18038678302507244,-0.19162505064340174,-0.11105777932719456
surprisal_volatility,0.14930880397897822,0.21073594664618325,0.21191124720515928,0.03772364401528991
topk_mass_std,-0.1567179068432812,-0.08655639555054358,-0.08558294346346475,-0.059097435180986875
