model,dataset,layer,attn_entropy_mean
llama,gsm8k,0,3.3196361406373813
llama,gsm8k,1,1.370484123806359
llama,gsm8k,2,0.8775946857465319
llama,gsm8k,3,1.0702486359289847
llama,gsm8k,4,1.5082725473228267
llama,gsm8k,5,1.8536974878042918
llama,gsm8k,6,2.1060927070605087
llama,gsm8k,7,2.4290731059291013
llama,gsm8k,8,2.6739215757123924
llama,gsm8k,9,2.788978012704338
llama,gsm8k,10,2.572439055929322
llama,gsm8k,11,2.9733702453969575
llama,gsm8k,12,2.773358730635965
llama,gsm8k,13,3.0770427277542445
llama,gsm8k,14,2.8112289056682904
llama,gsm8k,15,2.468070473337597
llama,gsm8k,16,2.3167203354047308
llama,gsm8k,17,2.3115486059638632
llama,gsm8k,18,1.7293539090908245
llama,gsm8k,19,1.5685564137887322
llama,gsm8k,20,1.7758633938121717
llama,gsm8k,21,1.4968411785326519
llama,gsm8k,22,1.6605266925514854
llama,gsm8k,23,1.1698891908020284
llama,gsm8k,24,1.1833652690722356
llama,gsm8k,25,1.0042275051847127
llama,gsm8k,26,1.6830413254336465
llama,gsm8k,27,1.4025804481195117
llama,gsm8k,28,1.7108853960392414
llama,gsm8k,29,1.3929969339610222
llama,gsm8k,30,2.3465180192303903
llama,gsm8k,31,1.7135925664144278
mistral7b,gsm8k,0,2.3438362888119793
mistral7b,gsm8k,1,1.337304017686008
mistral7b,gsm8k,2,1.3958268790571802
mistral7b,gsm8k,3,1.2793282916637914
mistral7b,gsm8k,4,1.5933248507238464
mistral7b,gsm8k,5,1.7216245907461376
mistral7b,gsm8k,6,1.8998741199939144
mistral7b,gsm8k,7,2.299542624007785
mistral7b,gsm8k,8,2.4054904260135883
mistral7b,gsm8k,9,2.6427699735464474
mistral7b,gsm8k,10,2.6905270377158335
mistral7b,gsm8k,11,2.6121495170014306
mistral7b,gsm8k,12,2.689110776311547
mistral7b,gsm8k,13,2.969760607101045
mistral7b,gsm8k,14,2.740863766281834
mistral7b,gsm8k,15,2.6388580016510965
mistral7b,gsm8k,16,2.8311931598954456
mistral7b,gsm8k,17,2.415878585121161
mistral7b,gsm8k,18,2.3979144844028597
mistral7b,gsm8k,19,2.346707403811487
mistral7b,gsm8k,20,2.3217776269399315
mistral7b,gsm8k,21,1.9480490587898387
mistral7b,gsm8k,22,1.5498494420898483
mistral7b,gsm8k,23,1.5123750056691874
mistral7b,gsm8k,24,1.558763462846643
mistral7b,gsm8k,25,1.5862378675205762
mistral7b,gsm8k,26,1.7665112625824244
mistral7b,gsm8k,27,1.6080136875912248
mistral7b,gsm8k,28,2.0551789290021354
mistral7b,gsm8k,29,1.9171606506122107
mistral7b,gsm8k,30,2.3291392642662565
mistral7b,gsm8k,31,2.5618527931346824
mixtral,gsm8k,0,2.3971171628035557
mixtral,gsm8k,1,2.1833203512408454
mixtral,gsm8k,2,1.1302539467392223
mixtral,gsm8k,3,1.3353962111065385
mixtral,gsm8k,4,1.8790807282470727
mixtral,gsm8k,5,1.6916626087297173
mixtral,gsm8k,6,1.9023183837641504
mixtral,gsm8k,7,2.4682706244754957
mixtral,gsm8k,8,2.2803294344426686
mixtral,gsm8k,9,2.710153140478315
mixtral,gsm8k,10,2.623932554956574
mixtral,gsm8k,11,2.5713162298528522
mixtral,gsm8k,12,2.463877610653053
mixtral,gsm8k,13,2.7922814555506466
mixtral,gsm8k,14,2.674979181753956
mixtral,gsm8k,15,2.5478599628176894
mixtral,gsm8k,16,2.54839248729703
mixtral,gsm8k,17,2.182460924033563
mixtral,gsm8k,18,2.0896970196666005
mixtral,gsm8k,19,2.1741108117297925
mixtral,gsm8k,20,2.1514121820323564
mixtral,gsm8k,21,1.8173408666895576
mixtral,gsm8k,22,1.625722779724226
mixtral,gsm8k,23,1.497031949890382
mixtral,gsm8k,24,1.665865212068336
mixtral,gsm8k,25,1.6179215403894454
mixtral,gsm8k,26,1.7361527599345608
mixtral,gsm8k,27,1.5346959197331593
mixtral,gsm8k,28,2.087847760888389
mixtral,gsm8k,29,1.9212086376055846
mixtral,gsm8k,30,2.3691343330591264
mixtral,gsm8k,31,2.215699854192657
qwen,gsm8k,0,3.4158427906894
qwen,gsm8k,1,3.6399316639625514
qwen,gsm8k,2,4.075903333156302
qwen,gsm8k,3,3.6940994602514428
qwen,gsm8k,4,1.5621923260162958
qwen,gsm8k,5,2.076694422453075
qwen,gsm8k,6,2.0083344636521634
qwen,gsm8k,7,2.355389671470262
qwen,gsm8k,8,2.185510079733434
qwen,gsm8k,9,2.8175827244989535
qwen,gsm8k,10,2.2265801727011776
qwen,gsm8k,11,2.4921741321041853
qwen,gsm8k,12,2.7923490022028923
qwen,gsm8k,13,3.0711166418917353
qwen,gsm8k,14,2.5680621738929448
qwen,gsm8k,15,2.609336089177734
qwen,gsm8k,16,2.8395451607826496
qwen,gsm8k,17,2.656501513926979
qwen,gsm8k,18,2.6503820796284296
qwen,gsm8k,19,2.6900558188556447
qwen,gsm8k,20,2.7815520268868794
qwen,gsm8k,21,2.431624736643452
qwen,gsm8k,22,2.3671425847995833
qwen,gsm8k,23,2.1364456173228286
qwen,gsm8k,24,2.1315960155859655
qwen,gsm8k,25,2.4071601765019803
qwen,gsm8k,26,2.419474077482438
qwen,gsm8k,27,3.0051563356157396
qwen,gsm8k,28,
qwen,gsm8k,29,
qwen,gsm8k,30,
qwen,gsm8k,31,
