model,dataset,layer,attn_entropy_mean
llama,humaneval,0,3.585795234017002
llama,humaneval,1,1.399636900519551
llama,humaneval,2,0.9042661797566549
llama,humaneval,3,1.0737661944618913
llama,humaneval,4,1.6024310782616769
llama,humaneval,5,1.9148757322481038
llama,humaneval,6,2.185294819731192
llama,humaneval,7,2.5541723663505924
llama,humaneval,8,2.8148985937281874
llama,humaneval,9,2.882838686806132
llama,humaneval,10,2.678496416866184
llama,humaneval,11,3.0448959567872653
llama,humaneval,12,2.829479559099566
llama,humaneval,13,3.2203337234637064
llama,humaneval,14,2.8544100682361067
llama,humaneval,15,2.532096885401233
llama,humaneval,16,2.2539723098209463
llama,humaneval,17,2.24821544169769
llama,humaneval,18,1.5730162997040305
llama,humaneval,19,1.5580399693515854
llama,humaneval,20,1.6802100400762858
llama,humaneval,21,1.370262888513414
llama,humaneval,22,1.506697604368973
llama,humaneval,23,0.9292327117589462
llama,humaneval,24,1.0690158932580824
llama,humaneval,25,0.9995567183251598
llama,humaneval,26,1.5084019991492312
llama,humaneval,27,1.360829054037059
llama,humaneval,28,1.6342209103838397
llama,humaneval,29,1.3415027959247128
llama,humaneval,30,2.295668686672182
llama,humaneval,31,1.6887085448095687
mistral7b,humaneval,0,2.430230334514827
mistral7b,humaneval,1,1.2734448932890579
mistral7b,humaneval,2,1.5513644721115414
mistral7b,humaneval,3,1.4604202705219782
mistral7b,humaneval,4,1.7105306225110053
mistral7b,humaneval,5,1.8622703801330107
mistral7b,humaneval,6,2.1108118345768605
mistral7b,humaneval,7,2.4950630939169134
mistral7b,humaneval,8,2.5693226663659425
mistral7b,humaneval,9,2.7558235917427725
mistral7b,humaneval,10,2.7098949781751323
mistral7b,humaneval,11,2.6825104446588397
mistral7b,humaneval,12,2.7196765369517446
mistral7b,humaneval,13,2.999963725853604
mistral7b,humaneval,14,2.8931600933960264
mistral7b,humaneval,15,2.736618989485192
mistral7b,humaneval,16,2.6992386469558345
mistral7b,humaneval,17,2.4518134435205257
mistral7b,humaneval,18,2.4501206161471214
mistral7b,humaneval,19,2.3161101682494944
mistral7b,humaneval,20,2.2734371292641207
mistral7b,humaneval,21,1.8819819460227247
mistral7b,humaneval,22,1.6572872644639616
mistral7b,humaneval,23,1.5153588973062402
mistral7b,humaneval,24,1.5267760923652183
mistral7b,humaneval,25,1.5345949067104319
mistral7b,humaneval,26,1.7680006404221524
mistral7b,humaneval,27,1.6361312124111178
mistral7b,humaneval,28,1.9254545658851867
mistral7b,humaneval,29,1.6781635766223175
mistral7b,humaneval,30,2.128749838464834
mistral7b,humaneval,31,2.3643754504442565
mixtral,humaneval,0,2.562161919989405
mixtral,humaneval,1,2.2403894050231647
mixtral,humaneval,2,1.201831516021095
mixtral,humaneval,3,1.2973896842983608
mixtral,humaneval,4,1.7480018255959053
mixtral,humaneval,5,1.6415118563629967
mixtral,humaneval,6,1.92759628329196
mixtral,humaneval,7,2.4022987596780623
mixtral,humaneval,8,2.345571278120332
mixtral,humaneval,9,2.6599752315104497
mixtral,humaneval,10,2.671292440530849
mixtral,humaneval,11,2.6274817455007393
mixtral,humaneval,12,2.5267648019334743
mixtral,humaneval,13,2.81381504925606
mixtral,humaneval,14,2.7472760545715453
mixtral,humaneval,15,2.631769689427926
mixtral,humaneval,16,2.5575642012046576
mixtral,humaneval,17,2.219062200635807
mixtral,humaneval,18,2.1608876396606616
mixtral,humaneval,19,2.0687284852867416
mixtral,humaneval,20,1.9182618483473202
mixtral,humaneval,21,1.5999095796787408
mixtral,humaneval,22,1.4140810638410104
mixtral,humaneval,23,1.2809010970254042
mixtral,humaneval,24,1.4253650379197997
mixtral,humaneval,25,1.4069951914083778
mixtral,humaneval,26,1.5915470448721483
mixtral,humaneval,27,1.4847029803511642
mixtral,humaneval,28,1.9520468168729441
mixtral,humaneval,29,1.7040154950592952
mixtral,humaneval,30,2.136024162703033
mixtral,humaneval,31,2.05295913364378
qwen,humaneval,0,3.4190374087791096
qwen,humaneval,1,3.592852824360603
qwen,humaneval,2,3.8369429805991255
qwen,humaneval,3,3.50316787364522
qwen,humaneval,4,1.345151089009059
qwen,humaneval,5,1.7975162999395742
qwen,humaneval,6,1.8697444156858127
qwen,humaneval,7,2.2525628747920914
qwen,humaneval,8,1.9513318800528825
qwen,humaneval,9,2.706816369736941
qwen,humaneval,10,1.9798996413231926
qwen,humaneval,11,2.2649891274673357
qwen,humaneval,12,2.5752492486974465
qwen,humaneval,13,2.814939864674098
qwen,humaneval,14,2.3513941981058464
qwen,humaneval,15,2.394813661175818
qwen,humaneval,16,2.540780071176379
qwen,humaneval,17,2.376632753533031
qwen,humaneval,18,2.495811405246784
qwen,humaneval,19,2.5127464820545637
qwen,humaneval,20,2.4761299108275754
qwen,humaneval,21,2.2562080608719195
qwen,humaneval,22,2.0442324025016547
qwen,humaneval,23,1.889922143225619
qwen,humaneval,24,1.9627036602037788
qwen,humaneval,25,2.2532265267608684
qwen,humaneval,26,2.2513960445715657
qwen,humaneval,27,2.7821962708868218
qwen,humaneval,28,
qwen,humaneval,29,
qwen,humaneval,30,
qwen,humaneval,31,
