model,dataset,signal,mean_delta,median_delta,frac_positive,n_prompts
llama,gsm8k,attention_collapse_detected,0.0057692307692307696,0.0,0.007692307692307693,130
llama,gsm8k,attn_entropy_norm_mean,-0.00032759648690761816,-0.00013611055558374052,0.49230769230769234,130
llama,gsm8k,attn_entropy_norm_std,9.82756037971736e-05,0.0001783338855651656,0.5461538461538461,130
llama,gsm8k,collapsed_rate_mean,-0.00013573756459204044,-0.00020544319549066405,0.45384615384615384,130
llama,gsm8k,collapsed_rate_mean_zscore,-0.03569065867162933,-0.05401896658971071,0.45384615384615384,130
llama,gsm8k,compound_density_per_100t,-0.029458821425634555,-0.027673554865808928,0.3923076923076923,130
llama,gsm8k,concentration_max_mean,-0.0005963369526652295,-0.0007136402399446906,0.4230769230769231,130
llama,gsm8k,concentration_min_mean,0.0008257245882511182,0.0006703562556731185,0.5384615384615384,130
llama,gsm8k,cs_attention_bottleneck,0.0,0.0,0.0,130
llama,gsm8k,cs_confident_confusion,0.0,0.0,0.0,130
llama,gsm8k,cs_confident_repetition_risk,-0.02849206349206349,0.0,0.4307692307692308,130
llama,gsm8k,cs_context_loss,0.0,0.0,0.0,130
llama,gsm8k,cs_degenerating_generation,0.0,0.0,0.0,130
llama,gsm8k,early10_entropy_mean,0.07667911127431033,0.06772368711698462,0.5846153846153846,130
llama,gsm8k,early10_entropy_slope,-0.005490271895070503,0.0008193364179220688,0.5,130
llama,gsm8k,early10_margin_mean,-0.014965641287957127,-0.01615912912206513,0.43846153846153846,130
llama,gsm8k,early10_margin_slope,0.0024700237328941486,0.001492627010200965,0.5384615384615384,130
llama,gsm8k,early10_surprisal_mean,0.12324335173580503,0.01672588485817933,0.5076923076923077,130
llama,gsm8k,early10_surprisal_slope,-0.01988951217258557,-0.01660883769133025,0.4307692307692308,130
llama,gsm8k,early25p_entropy_mean,0.07278657098541713,0.0419266415313469,0.5846153846153846,130
llama,gsm8k,early25p_entropy_slope,0.0003228264427328403,0.00042056899452169163,0.5384615384615384,130
llama,gsm8k,early25p_margin_mean,-0.02136070173626176,-0.016099035941154582,0.4307692307692308,130
llama,gsm8k,early25p_margin_slope,-0.00017036943771469426,-0.00020377773691128203,0.4461538461538462,130
llama,gsm8k,early25p_surprisal_mean,0.07952930331045167,0.04737529076312902,0.5923076923076923,130
llama,gsm8k,early25p_surprisal_slope,-0.0012293930916266243,-0.00020407860612692242,0.45384615384615384,130
llama,gsm8k,early50p_entropy_mean,0.06020725784549702,0.04447256471425354,0.6307692307692307,130
llama,gsm8k,early50p_entropy_slope,-0.00026316557138122645,0.0003449011245513239,0.5461538461538461,130
llama,gsm8k,early50p_margin_mean,-0.018831974391079823,-0.010976504496290895,0.3769230769230769,130
llama,gsm8k,early50p_margin_slope,5.890825751209655e-05,-0.00016362819793401713,0.4,130
llama,gsm8k,early50p_surprisal_mean,0.06255451303399559,0.0560024747904493,0.6307692307692307,130
llama,gsm8k,early50p_surprisal_slope,-0.0006459763414553157,0.0003112529236599566,0.5384615384615384,130
llama,gsm8k,entropy_diff_std,0.07242006600027696,0.07028316988054922,0.6615384615384615,130
llama,gsm8k,entropy_early_late_delta,0.013741056964251657,0.009265748679950503,0.5230769230769231,130
llama,gsm8k,entropy_max,0.2757866153501312,0.19559840915334448,0.6692307692307692,130
llama,gsm8k,entropy_mean,0.06540341579840328,0.054511577378810516,0.6538461538461539,130
llama,gsm8k,entropy_min,0.0,0.0,0.0,130
llama,gsm8k,entropy_p90,0.16200884215271835,0.1653286901639346,0.676923076923077,130
llama,gsm8k,entropy_range,0.2757866153501312,0.19559840915334448,0.6692307692307692,130
llama,gsm8k,entropy_range_approx,0.210383199551728,0.18711690367092282,0.6461538461538462,130
llama,gsm8k,entropy_slope,6.855926313592407e-05,0.00018539112393201268,0.5923076923076923,130
llama,gsm8k,entropy_std,0.06753751640095737,0.06328411738486023,0.676923076923077,130
llama,gsm8k,failure_risk,-0.012959096459096459,-0.07499999999999997,0.4076923076923077,130
llama,gsm8k,failure_risk_is_one,0.0,0.0,0.0,130
llama,gsm8k,failure_risk_is_zero,0.00044566544566544664,0.07500000000000001,0.5076923076923077,130
llama,gsm8k,focused_head_mean,-0.023413595801267013,-0.02258458731413615,0.46153846153846156,130
llama,gsm8k,focused_head_mean_zscore,-0.04482470851169098,-0.04323759373851377,0.46153846153846156,130
llama,gsm8k,focused_head_rate,-0.0007316748687895942,-0.0007057683535667547,0.46153846153846156,130
llama,gsm8k,hidden_max_abs_last_layer_mean,0.5615332258952976,0.5376790563680789,0.5769230769230769,130
llama,gsm8k,hidden_max_abs_last_layer_mean_zscore,0.24118695755517788,0.23094123333449085,0.5769230769230769,130
llama,gsm8k,hidden_std_last_layer_mean,-0.0030846912892210266,-0.0017097717416421077,0.45384615384615384,130
llama,gsm8k,hidden_std_last_layer_mean_zscore,-0.11949248612567723,-0.0662318711859951,0.45384615384615384,130
llama,gsm8k,high_entropy_frac,0.0010025882545118324,0.000398406374501992,0.5153846153846153,130
llama,gsm8k,high_entropy_steps,0.3860897435897436,0.023809523809523808,0.5,130
llama,gsm8k,inf_detected,0.0,0.0,0.0,130
