signal,llama,mistral7b,mixtral,qwen
basin_score_mean,0.12473350768457785,-0.17380491124299025,0.07210180839932434,0.16218908034175034
basin_score_min,0.1607129159289125,-0.19287363096715396,0.1074033737190499,-0.030433611932312008
basin_score_std,0.14943554684060228,0.04267999311100788,0.06253083834267172,0.021754525819628875
layer_transform_max,0.023638314863672016,-0.1894023257645026,-0.11785097017424272,0.08277969174460041
layer_transform_mean,-0.04242992382667164,-0.13934566424498168,-0.1793777765855104,0.07116310988454869
layer_transform_std,-0.007246752534068093,-0.2626050397819558,-0.15994746828846607,0.07798106493706725
prompt_surprisal_max,-0.026605308783894086,0.02976449612161389,-0.07482324436773112,-0.09919127399225952
prompt_surprisal_mean,0.11083851678946263,0.09831027093186076,0.07833551749624655,0.14119527579849564
prompt_surprisal_p90,-0.010213457451817266,0.017361475367021942,-0.07519726062164855,0.05079617096051877
prompt_surprisal_std,-0.1524649146874863,-0.06818330531924482,-0.09165602490031909,-0.04250276683141824
prompt_token_count,0.13034968878252653,0.13922143041827317,0.13922143041827317,0.1625667457153419
