signal,llama,mistral7b,mixtral,qwen
basin_score_mean,0.09730444846234945,0.08316072380675042,0.0986205516762449,0.11763776248609023
basin_score_min,0.02302591028585677,0.02908285878540071,0.058121314430715956,-0.054497496875668065
basin_score_std,0.058760746978261474,0.03521158221319444,0.013720713029980888,-0.02987280490847461
layer_transform_max,0.11822320872908795,-0.0036234745273386717,-0.13932301960859972,-0.17242759721336487
layer_transform_mean,0.07666473266657248,-0.041751345035091834,-0.04291039831560576,0.08341514670674476
layer_transform_std,0.2063985258228235,0.031552543194458715,-0.14813375046020322,-0.17708791345143313
prompt_surprisal_max,0.24199369282783142,-0.1556370551013322,-0.040839193294971446,0.20863189819269426
prompt_surprisal_mean,0.14930520634506253,0.17595942478210344,0.17854806862873981,0.11889619833552459
prompt_surprisal_p90,0.06922628250437253,0.1687247865129097,0.18693318532065803,0.17041273198921617
prompt_surprisal_std,0.05613581394014788,0.08902749702221119,0.08722139066995299,0.21402300563233115
prompt_token_count,0.180231150916061,0.19045087794813098,0.19579915931287295,0.17534242767004274
