model,dataset,question_id,signal,n_runs,std_across_runs,range_across_runs
llama,gsm8k,gsm8k_0000,prompt_surprisal_mean,10,9.362222582871203e-16,0.0
llama,gsm8k,gsm8k_0001,prompt_surprisal_mean,10,9.362222582871203e-16,0.0
llama,gsm8k,gsm8k_0002,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0003,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0004,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0005,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0006,prompt_surprisal_mean,10,9.362222582871203e-16,0.0
llama,gsm8k,gsm8k_0007,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0008,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0009,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0010,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0011,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0012,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0013,prompt_surprisal_mean,10,9.362222582871203e-16,0.0
llama,gsm8k,gsm8k_0014,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0015,prompt_surprisal_mean,10,9.362222582871203e-16,0.0
llama,gsm8k,gsm8k_0016,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0017,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0018,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0019,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0020,prompt_surprisal_mean,10,9.362222582871203e-16,0.0
llama,gsm8k,gsm8k_0021,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0022,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0023,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0024,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0025,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0026,prompt_surprisal_mean,10,9.362222582871203e-16,0.0
llama,gsm8k,gsm8k_0027,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0028,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0029,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0030,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0031,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0032,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0033,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0034,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0035,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0036,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0037,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0038,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0039,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0040,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0041,prompt_surprisal_mean,10,9.362222582871203e-16,0.0
llama,gsm8k,gsm8k_0042,prompt_surprisal_mean,10,9.362222582871203e-16,0.0
llama,gsm8k,gsm8k_0043,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0044,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0045,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0046,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0047,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0048,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0049,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0050,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0051,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0052,prompt_surprisal_mean,10,9.362222582871203e-16,0.0
llama,gsm8k,gsm8k_0053,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0054,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0055,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0056,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0057,prompt_surprisal_mean,10,9.362222582871203e-16,0.0
llama,gsm8k,gsm8k_0058,prompt_surprisal_mean,10,9.362222582871203e-16,0.0
llama,gsm8k,gsm8k_0059,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0060,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0061,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0062,prompt_surprisal_mean,10,9.362222582871203e-16,0.0
llama,gsm8k,gsm8k_0063,prompt_surprisal_mean,10,4.681111291435602e-16,0.0
llama,gsm8k,gsm8k_0064,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0065,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0066,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0067,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0068,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0069,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0070,prompt_surprisal_mean,10,9.362222582871203e-16,0.0
llama,gsm8k,gsm8k_0071,prompt_surprisal_mean,10,0.0,0.0
llama,gsm8k,gsm8k_0072,prompt_surprisal_mean,10,0.0,0.0
