dataset,signal,model_a,model_b,spearman_rho
gsm8k,entropy_mean,llama,mistral7b,0.4198861966713862
gsm8k,entropy_mean,llama,mixtral,0.27451179440600537
gsm8k,entropy_mean,llama,qwen,0.3497772444311108
gsm8k,entropy_mean,mistral7b,mixtral,0.5377696425759723
gsm8k,entropy_mean,mistral7b,qwen,0.3888681110250314
gsm8k,entropy_mean,mixtral,qwen,0.2889562685331125
gsm8k,surprisal_mean,llama,mistral7b,0.39373814548660274
gsm8k,surprisal_mean,llama,mixtral,0.23101007132743837
gsm8k,surprisal_mean,llama,qwen,0.35477386934673366
gsm8k,surprisal_mean,mistral7b,mixtral,0.5662612187057157
gsm8k,surprisal_mean,mistral7b,qwen,0.38954131381401436
gsm8k,surprisal_mean,mixtral,qwen,0.30017898645580104
gsm8k,margin_mean,llama,mistral7b,0.4786765688029279
gsm8k,margin_mean,llama,mixtral,0.2968103010712473
gsm8k,margin_mean,llama,qwen,0.36490812270306755
gsm8k,margin_mean,mistral7b,mixtral,0.5387773578963942
gsm8k,margin_mean,mistral7b,qwen,0.40611225389362327
gsm8k,margin_mean,mixtral,qwen,0.3308551278283867
gsm8k,risk_score,llama,mistral7b,0.0696578686736547
gsm8k,risk_score,llama,mixtral,-0.06243640006530478
gsm8k,risk_score,llama,qwen,-0.07961527023748788
gsm8k,risk_score,mistral7b,mixtral,-0.06733337257187666
gsm8k,risk_score,mistral7b,qwen,-0.15906957832015797
gsm8k,risk_score,mixtral,qwen,-0.047906853717581396
humaneval,entropy_mean,llama,mistral7b,0.15646756356018662
humaneval,entropy_mean,llama,mixtral,0.09219389720856778
humaneval,entropy_mean,llama,qwen,0.06563737026104227
humaneval,entropy_mean,mistral7b,mixtral,0.5147263256092277
humaneval,entropy_mean,mistral7b,qwen,0.27504250948811776
humaneval,entropy_mean,mixtral,qwen,0.030657910892640153
humaneval,surprisal_mean,llama,mistral7b,0.16935780066110756
humaneval,surprisal_mean,llama,mixtral,0.09086726478030825
humaneval,surprisal_mean,llama,qwen,0.08243439935793669
humaneval,surprisal_mean,mistral7b,mixtral,0.5245123567342825
humaneval,surprisal_mean,mistral7b,qwen,0.2677948118019942
humaneval,surprisal_mean,mixtral,qwen,0.07220126425247791
humaneval,margin_mean,llama,mistral7b,0.150767891393359
humaneval,margin_mean,llama,mixtral,0.10812477683643328
humaneval,margin_mean,llama,qwen,0.021773019738005522
humaneval,margin_mean,mistral7b,mixtral,0.467557486229132
humaneval,margin_mean,mistral7b,qwen,0.2539850094541102
humaneval,margin_mean,mixtral,qwen,0.011997555609185378
humaneval,risk_score,llama,mistral7b,-0.0332435814214201
humaneval,risk_score,llama,mixtral,-0.010744217481060919
humaneval,risk_score,llama,qwen,-0.014402894726102866
humaneval,risk_score,mistral7b,mixtral,0.010983548224434574
humaneval,risk_score,mistral7b,qwen,-0.04829142289171882
humaneval,risk_score,mixtral,qwen,-0.020261518547430142
