model,signal,correlation,p_value,raw_auroc,predictive_power,direction,n
llama,attention_collapse_detected,-0.03429985416476914,0.03851878412463367,0.49285877411856394,0.5071412258814361,lower_more_failure,3640
llama,attn_entropy_norm_mean,0.21423632825620198,4.696250608547303e-39,0.7145767943905954,0.7145767943905954,higher_more_failure,3640
llama,attn_entropy_norm_std,-0.12753007134091315,1.1352760826067789e-14,0.37995498688744767,0.6200450131125523,lower_more_failure,3640
llama,collapsed_rate_mean,-0.19691544449719833,3.823851319779514e-33,0.30065651904822144,0.6993434809517786,lower_more_failure,3640
llama,collapsed_rate_mean_zscore,-0.19691544449719833,3.823851319779514e-33,0.30065651904822144,0.6993434809517786,lower_more_failure,3640
llama,compound_density_per_100t,0.01675356499488652,0.3122525694476969,0.5188253632164255,0.5188253632164255,higher_more_failure,3640
llama,concentration_max_mean,-0.08960076859480537,6.13340417445746e-08,0.41170357906032795,0.588296420939672,lower_more_failure,3640
llama,concentration_min_mean,-0.10272664270180579,5.22953828912357e-10,0.39759516894349933,0.6024048310565007,lower_more_failure,3640
llama,cs_confident_repetition_risk,-0.015136397747311594,0.36126671632687507,0.4930302688136897,0.5069697311863103,lower_more_failure,3640
llama,early10_entropy_mean,0.20444387675590311,1.2000662903495357e-35,0.6799476007297863,0.6799476007297863,higher_more_failure,3640
llama,early10_entropy_slope,-0.06810559174410594,3.9167128322101446e-05,0.45758944679377084,0.5424105532062291,lower_more_failure,3640
llama,early10_margin_mean,-0.19994785104131946,3.8572574056247155e-34,0.3151325390808394,0.6848674609191606,lower_more_failure,3640
llama,early10_margin_slope,0.015200909466327838,0.35922359660771414,0.5017527267232034,0.5017527267232034,higher_more_failure,3640
llama,early10_surprisal_mean,0.14533490596960247,1.2269332702742161e-18,0.6314086591237301,0.6314086591237301,higher_more_failure,3640
llama,early10_surprisal_slope,-0.035527220011247924,0.0320823325558201,0.49422393981045587,0.5057760601895441,lower_more_failure,3640
llama,early25p_entropy_mean,0.21380726404403794,6.678257147514362e-39,0.7167654742125464,0.7167654742125464,higher_more_failure,3640
llama,early25p_entropy_slope,-0.11237700231808195,1.0520668121050263e-11,0.36824410656782236,0.6317558934321776,lower_more_failure,3640
llama,early25p_margin_mean,-0.23866645775828235,2.5739856756296894e-48,0.2648913852781143,0.7351086147218857,lower_more_failure,3640
llama,early25p_margin_slope,0.08461300664462579,3.182209077754488e-07,0.6157517028489343,0.6157517028489343,higher_more_failure,3640
llama,early25p_surprisal_mean,0.19353619766274097,4.71568782947554e-32,0.6969162367272019,0.6969162367272019,higher_more_failure,3640
llama,early25p_surprisal_slope,-0.09577439522137286,7.054232105323107e-09,0.3947833351303487,0.6052166648696513,lower_more_failure,3640
llama,early50p_entropy_mean,0.17983868576109316,7.784943847428465e-28,0.6818663037544603,0.6818663037544603,higher_more_failure,3640
llama,early50p_entropy_slope,-0.10664395244785066,1.1164490690877172e-10,0.3646053626900556,0.6353946373099444,lower_more_failure,3640
llama,early50p_margin_mean,-0.21379310192554044,6.756233210126036e-39,0.2879124256396455,0.7120875743603545,lower_more_failure,3640
llama,early50p_margin_slope,0.08953180741573719,6.278471427206269e-08,0.6212318922402046,0.6212318922402046,higher_more_failure,3640
llama,early50p_surprisal_mean,0.16626583231306516,5.630255781477399e-24,0.6665243204098213,0.6665243204098213,higher_more_failure,3640
llama,early50p_surprisal_slope,-0.09097817140987524,3.831378524228023e-08,0.3859148520348864,0.6140851479651136,lower_more_failure,3640
llama,entropy_diff_std,0.06652004081174645,5.90976773043249e-05,0.5649790852880474,0.5649790852880474,higher_more_failure,3640
llama,entropy_early_late_delta,-0.12052490459566062,2.9717825672497444e-13,0.35517655039269735,0.6448234496073026,lower_more_failure,3640
llama,entropy_max,-0.10230035865234723,6.165420036910943e-10,0.40293570052611516,0.5970642994738848,lower_more_failure,3640
llama,entropy_mean,0.14484848341790857,1.6000970612095486e-18,0.6370594942264869,0.6370594942264869,higher_more_failure,3640
llama,entropy_p90,0.14731103707760995,4.132852104372977e-19,0.6470656153985257,0.6470656153985257,higher_more_failure,3640
llama,entropy_range,-0.10230035865234723,6.165420036910943e-10,0.40293570052611516,0.5970642994738848,lower_more_failure,3640
llama,entropy_range_approx,-0.13560498365504434,2.0945124814048916e-16,0.3694904145502212,0.6305095854497789,lower_more_failure,3640
