signal,outcome,n,mean,median,std,p10,p90
attention_collapse_detected,correct,3423,0.0043821209465381246,0.0,0.06606203844843994,0.0,0.0
attention_collapse_detected,incorrect,7980,0.0053884711779448626,0.0,0.07321275332172007,0.0,0.0
attention_collapse_detected,format_failure,3137,0.000637551801083838,0.0,0.025245762023097258,0.0,0.0
attn_entropy_norm_mean,correct,3423,0.3874927667689753,0.37145593283679085,0.044732317205903996,0.34283322225151097,0.47185598212260893
attn_entropy_norm_mean,incorrect,7980,0.4034018865704602,0.39898670124204083,0.04984245937650269,0.34058790343705775,0.47718793007016336
attn_entropy_norm_mean,format_failure,3137,0.3969035130251355,0.3985615823691413,0.02033581059926037,0.36990791536090833,0.4086130903040903
attn_entropy_norm_std,correct,3423,0.12065979979298358,0.12666651196041762,0.0155023183992351,0.09672001395581124,0.13755688875784422
attn_entropy_norm_std,incorrect,7980,0.11481513145341987,0.11082123013210392,0.013144266170759063,0.10098681035532707,0.1367009195557291
attn_entropy_norm_std,format_failure,3137,0.10568689412833285,0.10499675535793061,0.01141845309215994,0.09410236920579935,0.1272955642696997
collapsed_rate_mean,correct,3423,0.01189247897689215,0.01137569580078125,0.006039262739443663,0.0019458187464709204,0.018886127267641953
collapsed_rate_mean,incorrect,7980,0.014062302156943377,0.016287671390821955,0.007503254421238982,0.0017163708043981484,0.022396751302083334
collapsed_rate_mean,format_failure,3137,0.009319653882477229,0.007941436767578126,0.007796562338289493,0.0012982575489226328,0.018677334158415843
collapsed_rate_mean_zscore,correct,3423,-0.22092245435363536,-0.48493409214885214,0.9253173614420104,-1.0687602172772315,1.0320457189768901
collapsed_rate_mean_zscore,incorrect,7980,0.31865581169705753,0.18181750482584963,1.0536929866983118,-0.8859584150395876,1.6867155086450534
collapsed_rate_mean_zscore,format_failure,3137,-0.5694569750595818,-0.6231518616356583,0.4901766348511226,-1.129638318203744,0.054971882628507315
compound_density_per_100t,correct,3423,0.4553824997667055,0.2801120448179272,0.7675066047817546,0.1953125,0.7800387596899236
compound_density_per_100t,incorrect,7980,0.48129577742376606,0.21978021978021978,0.638173221146148,0.1953125,1.0638297872340425
compound_density_per_100t,format_failure,3137,0.4292648336157113,0.4,0.32996893488194917,0.1953125,0.7042253521126761
concentration_max_mean,correct,3423,0.9081468715917116,0.919806495308876,0.03725980500928544,0.8552537445651369,0.9395278937742153
concentration_max_mean,incorrect,7980,0.8831082881209079,0.9036096670622231,0.0666630904292803,0.7462121164798737,0.9433795357904459
concentration_max_mean,format_failure,3137,0.8953506483862631,0.9135879129171371,0.04089809589103935,0.8503488151449369,0.9405810406714478
concentration_min_mean,correct,3423,0.17604788742846936,0.1803547777235508,0.03840736555003737,0.12106783142712775,0.22366236844101028
concentration_min_mean,incorrect,7980,0.15398576068825312,0.15200594885676516,0.03921380060248191,0.10450009100295655,0.2103759001009166
concentration_min_mean,format_failure,3137,0.15989976761589259,0.15857030428014696,0.02275330232180148,0.1355409640900927,0.1865308517590165
cs_attention_bottleneck,correct,3423,0.0,0.0,0.0,0.0,0.0
cs_attention_bottleneck,incorrect,7980,0.0,0.0,0.0,0.0,0.0
cs_attention_bottleneck,format_failure,3137,0.0,0.0,0.0,0.0,0.0
cs_confident_confusion,correct,3423,0.0,0.0,0.0,0.0,0.0
cs_confident_confusion,incorrect,7980,0.0,0.0,0.0,0.0,0.0
cs_confident_confusion,format_failure,3137,0.0,0.0,0.0,0.0,0.0
cs_confident_repetition_risk,correct,3423,0.9234589541338007,1.0,0.2659006759799115,1.0,1.0
cs_confident_repetition_risk,incorrect,7980,0.9279448621553885,1.0,0.25859538830265993,1.0,1.0
cs_confident_repetition_risk,format_failure,3137,0.9706726171501434,1.0,0.1687494149440096,1.0,1.0
cs_context_loss,correct,3423,0.0,0.0,0.0,0.0,0.0
cs_context_loss,incorrect,7980,0.0,0.0,0.0,0.0,0.0
cs_context_loss,format_failure,3137,0.0,0.0,0.0,0.0,0.0
cs_degenerating_generation,correct,3423,0.0,0.0,0.0,0.0,0.0
cs_degenerating_generation,incorrect,7980,0.00012531328320802005,0.0,0.01119434157099112,0.0,0.0
cs_degenerating_generation,format_failure,3137,0.0,0.0,0.0,0.0,0.0
early10_entropy_mean,correct,3423,0.6808474924204527,0.6235923581166152,0.34561588367773544,0.31520709291469134,1.1244854980731673
early10_entropy_mean,incorrect,7980,0.6090569832781073,0.5453545953271192,0.3283862814457689,0.2610451758300438,1.0308974368945882
early10_entropy_mean,format_failure,3137,0.6601644999560212,0.6019833227767163,0.2841696369746048,0.3695043642151775,0.9980913238101216
early10_entropy_slope,correct,3423,-0.009839066272821122,-0.01087018051575901,0.10054991240646403,-0.1344893003647285,0.11859595838442112
early10_entropy_slope,incorrect,7980,-0.04242219229136307,-0.05154906455081862,0.09044767186221853,-0.14781120337685363,0.07625394123105395
early10_entropy_slope,format_failure,3137,0.058142951855759586,0.05805760830196273,0.09621635661791546,-0.05144965857861992,0.17584201294702817
early10_margin_mean,correct,3423,0.720277789670393,0.7324266761541367,0.125220554162777,0.5529431968927383,0.8698986050486565
early10_margin_mean,incorrect,7980,0.7523980104844925,0.7668049484491348,0.11528482741955985,0.6005223566293716,0.8889615604281426
early10_margin_mean,format_failure,3137,0.7494987856234849,0.7650969713926316,0.10196418288398051,0.628137226998806,0.8582682591676712
early10_margin_slope,correct,3423,0.0005380309096504742,0.002565174030535149,0.040839839972950855,-0.052308651678489915,0.051871274023345036
early10_margin_slope,incorrect,7980,0.011767533695009933,0.015235784920779143,0.03620516679902806,-0.03906838074778066,0.0552086564446941
early10_margin_slope,format_failure,3137,-0.026688823014668062,-0.02794961559050011,0.03717876564504219,-0.07313781335498348,0.019696944085034467
early10_surprisal_mean,correct,3423,0.676053932659728,0.5994072849403338,0.42270111712550296,0.2295273410351034,1.215809033268404
early10_surprisal_mean,incorrect,7980,0.6145589155319353,0.5284820847296207,0.42168424954714634,0.16362605577815592,1.180873809577764
early10_surprisal_mean,format_failure,3137,0.643985654943678,0.5747374206184512,0.3835176026006877,0.23472638484735117,1.1211014059860769
early10_surprisal_slope,correct,3423,-0.006148972328428378,-0.0006897809152817104,0.13964368127380766,-0.17997962477187546,0.15830828930300592
early10_surprisal_slope,incorrect,7980,-0.046828343084841045,-0.03950337505959886,0.12691988582356997,-0.2080883332225371,0.10606420099139556
early10_surprisal_slope,format_failure,3137,0.0609157971178106,0.059076193792281906,0.13222898367322608,-0.08893713237088963,0.21727998806524718
early25p_entropy_mean,correct,3423,0.43057585452736213,0.40452257596405405,0.1926263802857855,0.21799667941697648,0.6666111450417982
early25p_entropy_mean,incorrect,7980,0.3786190517737244,0.3448323089348355,0.19024549962578735,0.17335481187397772,0.6204972451661467
early25p_entropy_mean,format_failure,3137,0.44499210314593657,0.42343052646087537,0.15757736122413574,0.26956651459871367,0.6396452171985144
early25p_entropy_slope,correct,3419,-0.006669037362322303,-0.004394248243686943,0.017605561055851416,-0.017407245500068703,0.0013868636513444297
early25p_entropy_slope,incorrect,7977,-0.008909343227754265,-0.0037627060735750126,0.04187276015268978,-0.029118598695461562,0.0023558420223841643
early25p_entropy_slope,format_failure,3136,-0.006101638473249015,-0.00555864644303615,0.00889676297015962,-0.014773094031865403,0.0008449288897199013
early25p_margin_mean,correct,3423,0.8064015443941309,0.8116157031618059,0.07520256650966335,0.7128683340073062,0.8984883779659867
early25p_margin_mean,incorrect,7980,0.8344125262372596,0.8429896347224712,0.07469926453640799,0.7354607375589143,0.9221345954707691
early25p_margin_mean,format_failure,3137,0.8037074139571113,0.8100198866040619,0.06274657132153115,0.7224167763475667,0.8785700630295662
early25p_margin_slope,correct,3419,0.0020559699998658225,0.0016351622725351497,0.00782683585130637,-0.0010645874568206697,0.006206572046200945
early25p_margin_slope,incorrect,7977,0.003048741026076404,0.001467321363936532,0.012918076168934756,-0.0011912841512751685,0.009690361563183411
early25p_margin_slope,format_failure,3136,0.001724145455011749,0.0018040725360191413,0.003645240987329406,-0.0015199614005949873,0.005284122966238926
early25p_surprisal_mean,correct,3423,0.4321080463643768,0.4010859812484411,0.2134350552418352,0.20494477453619955,0.6949713613778523
early25p_surprisal_mean,incorrect,7980,0.379757268744744,0.3393368972777058,0.21949019824930247,0.14999216847444338,0.6514419611764066
early25p_surprisal_mean,format_failure,3137,0.44175014427274506,0.4149350331891401,0.17992555648747766,0.2413971785780542,0.6810400505723833
early25p_surprisal_slope,correct,3419,-0.00809645436547855,-0.004199564059759977,0.03241519299538887,-0.019557108447544106,0.0025383845769486814
early25p_surprisal_slope,incorrect,7977,-0.00877113124744968,-0.003662277270824486,0.05197331081740541,-0.02972453425789709,0.003532970109143413
early25p_surprisal_slope,format_failure,3136,-0.0057883717327483035,-0.0051870059189796395,0.0111341987987087,-0.016478672690617834,0.0034941170355886845
early50p_entropy_mean,correct,3423,0.3485055612934163,0.3270902231953679,0.1565483168714526,0.17461837610113673,0.5483338494543835
early50p_entropy_mean,incorrect,7980,0.3217882890115985,0.2957417629649012,0.1582331971760071,0.14883250292709432,0.5260171566612967
early50p_entropy_mean,format_failure,3137,0.34483437708079684,0.3247484508214608,0.13040549554695924,0.20276213221590209,0.5071595261386892
early50p_entropy_slope,correct,3423,-0.003141772355956832,-0.0023370191859721228,0.01846763153378737,-0.008638230432219318,0.0003552868755277498
early50p_entropy_slope,incorrect,7980,-0.003968068590904082,-0.0015249173543549538,0.012690297668424156,-0.010837354032017396,0.0011622899345275857
early50p_entropy_slope,format_failure,3137,-0.0034174192641608673,-0.0031073800628474138,0.01590212014124005,-0.008094946665150503,-0.0003149518291631936
early50p_margin_mean,correct,3423,0.8403925961366997,0.8457705726990333,0.06447290723153888,0.7578971290893175,0.9180299415718765
early50p_margin_mean,incorrect,7980,0.8571230576983504,0.8658358096821694,0.06446792737404246,0.7707445052645148,0.932633618656763
early50p_margin_mean,format_failure,3137,0.8421131438773707,0.8480531341499753,0.05359483810022199,0.7719046286047894,0.9052223410891223
early50p_margin_slope,correct,3423,0.0008363034290705869,0.0009311268585364203,0.017370543141989703,-0.00019596807112396471,0.00333473892164055
early50p_margin_slope,incorrect,7980,0.0013873752886691857,0.0006184329130963083,0.004817767731334895,-0.0005231665387358721,0.003869178333318769
early50p_margin_slope,format_failure,3137,0.0012634970395781228,0.0011215485514604723,0.004284325181707778,-5.0974694868189955e-05,0.0031129602026642614
early50p_surprisal_mean,correct,3423,0.3493182483452549,0.32188543043977647,0.1681098043409383,0.165726599625987,0.5638677497899802
early50p_surprisal_mean,incorrect,7980,0.32217852918929796,0.29318477477892374,0.17239519452108396,0.13397201661131997,0.5454170531376378
early50p_surprisal_mean,format_failure,3137,0.34362224709932265,0.3198166856005115,0.14414885141824066,0.18532540725902186,0.5299074166030449
early50p_surprisal_slope,correct,3423,-0.0034512544684515735,-0.0021958645430428685,0.020217995067005355,-0.009333931457844625,0.0007864863392606148
early50p_surprisal_slope,incorrect,7980,-0.0038592949263542295,-0.0014709704908632128,0.014474977697128128,-0.011311913068810355,0.0015673733729362658
early50p_surprisal_slope,format_failure,3137,-0.0031012098496519063,-0.002906766940490171,0.02858075652630792,-0.00847286470883676,0.00017082436449685813
entropy_diff_std,correct,3423,0.6639956258314541,0.6551408742178193,0.17216996536626056,0.45174859349487295,0.884201751943104
entropy_diff_std,incorrect,7980,0.6756687197379246,0.6688217410972264,0.17759041163637176,0.45975238719713757,0.9047716863783146
entropy_diff_std,format_failure,3137,0.6827964027093645,0.6753481165410011,0.1392655136894186,0.5154289934581889,0.8577107104289412
entropy_early_late_delta,correct,3419,-0.24370318937933286,-0.25136864836372996,0.253326852440212,-0.5092454133125925,0.009721560667471313
entropy_early_late_delta,incorrect,7980,-0.1610058768380479,-0.1796370294640367,0.2768203701151245,-0.45855275380405386,0.16214161638649152
entropy_early_late_delta,format_failure,3136,-0.2443936244209856,-0.242718128102607,0.20099706238041848,-0.4750268100093917,-0.021903488725135638
entropy_max,correct,3423,3.075679707286598,2.978680350911949,0.773767551767425,2.1991372378789196,4.163162841173422
entropy_max,incorrect,7980,3.2082978587555897,3.171748074770538,0.771276761891745,2.248517016982505,4.240349996345328
entropy_max,format_failure,3137,2.9166406840292236,2.8658007418967,0.5311344774497679,2.277514856960097,3.631605949571869
entropy_mean,correct,3423,0.27174977435975123,0.24826746192701635,0.1377167520541627,0.12240145367028152,0.4468541887983389
entropy_mean,incorrect,7980,0.27404713439367756,0.24638624850758994,0.14492402037247867,0.1197436721221216,0.46441090328185436
entropy_mean,format_failure,3137,0.27582076424015656,0.25828816151511036,0.11111043873623352,0.1561023790981024,0.4120511018627632
entropy_min,correct,3423,0.0,0.0,0.0,0.0,-0.0
entropy_min,incorrect,7980,0.0,0.0,0.0,-0.0,0.0
entropy_min,format_failure,3137,0.0,0.0,0.0,-0.0,0.0
entropy_p90,correct,3423,0.9933259924124507,0.9818737020792336,0.45538495541763335,0.3985822302999566,1.5229913053024728
entropy_p90,incorrect,7980,0.9821816393946433,0.9668552225021811,0.47820756777452644,0.38968943394081507,1.5853784160621858
entropy_p90,format_failure,3137,1.0454834211681148,0.993153373416987,0.3209224129594896,0.6896724334202144,1.4463333132300482
entropy_range,correct,3423,3.075679707286598,2.978680350911949,0.773767551767425,2.1991372378789196,4.163162841173422
entropy_range,incorrect,7980,3.2082978587555897,3.171748074770538,0.771276761891745,2.248517016982505,4.240349996345328
entropy_range,format_failure,3137,2.9166406840292236,2.8658007418967,0.5311344774497679,2.277514856960097,3.631605949571869
entropy_range_approx,correct,3423,2.8039299329268466,2.7070553988962978,0.7345910000100737,1.9833584349567355,3.8291561193276387
entropy_range_approx,incorrect,7980,2.934250724361912,2.8817162408579358,0.7366871662765716,2.0286224602832816,3.9371791408627392
entropy_range_approx,format_failure,3137,2.6408199197890667,2.5970260275575923,0.49398893407899985,2.041497438811588,3.301826399274623
entropy_slope,correct,3423,-0.001343728416923096,-0.0010304597822899566,0.0026067444402819388,-0.0032149213599909497,7.356451831832163e-05
entropy_slope,incorrect,7980,-0.0014541926099716613,-0.0006689081657680959,0.004405957824772345,-0.004146413095815214,0.0006253030392172317
entropy_slope,format_failure,3137,-0.0013573892938506817,-0.0011513843147581946,0.00301229582890668,-0.002993475360755044,-0.00010140699387669484
entropy_std,correct,3423,0.5477181891243025,0.5327190273097397,0.150386448147917,0.37652717554401416,0.7332661489695466
entropy_std,incorrect,7980,0.5593823542421801,0.5462377061530543,0.1568701760162102,0.37346750964532893,0.7655749747307936
entropy_std,format_failure,3137,0.5427989166979259,0.5313160657912012,0.11132657429609391,0.4127247519581635,0.6789675615152474
failure_risk,correct,3423,0.3090271691498685,0.5,0.2927185005013012,0.0,0.6
failure_risk,incorrect,7980,0.3641854636591478,0.5,0.2807488699892194,0.0,0.6
failure_risk,format_failure,3137,0.5372649027733503,0.6,0.17958083712299872,0.5,0.6
failure_risk_is_one,correct,3423,0.0,0.0,0.0,0.0,0.0
failure_risk_is_one,incorrect,7980,0.0,0.0,0.0,0.0,0.0
failure_risk_is_one,format_failure,3137,0.0,0.0,0.0,0.0,0.0
failure_risk_is_zero,correct,3423,0.46596552731522056,0.0,0.49891319170928905,0.0,1.0
failure_risk_is_zero,incorrect,7980,0.3675438596491228,0.0,0.48216646946866293,0.0,1.0
failure_risk_is_zero,format_failure,3137,0.09913930506853681,0.0,0.29889660827349573,0.0,0.0
focused_head_mean,correct,3423,3.5030530830492546,4.31099537037037,1.6511639108497256,0.8234315968250667,5.208630371093751
focused_head_mean,incorrect,7980,2.616302127588319,1.7471051897321428,1.7697015025744292,0.6777115281251371,5.280413818359375
focused_head_mean,format_failure,3137,2.2315520654540597,3.031547619047619,1.4743332009302026,0.7111397879464285,4.4230224609375
focused_head_mean_zscore,correct,3423,-0.2108465792276149,-0.45125488325983026,0.9306049093211866,-1.0787307200539213,0.9428253212932625
focused_head_mean_zscore,incorrect,7980,0.21564766332214227,0.04487209944474682,1.1007629212143133,-0.9604966299236186,1.5631417856282093
focused_head_mean_zscore,format_failure,3137,-0.31844476604308114,-0.40968776237883764,0.5824968070595319,-1.0051177461147909,0.5059227999893603
focused_head_rate,correct,3423,0.11076063931973236,0.13471860532407406,0.050255849183651884,0.025732237400783335,0.1627696990966797
focused_head_rate,incorrect,7980,0.0843015968102389,0.062266911142665235,0.05398381071087615,0.021178485253910535,0.16501293182373047
focused_head_rate,format_failure,3137,0.06990547488474139,0.0947358630952381,0.045978115211183154,0.02222311837332589,0.13821945190429688
hidden_max_abs_last_layer_mean,correct,3423,72.50034905717236,29.167712355212355,52.57197193046867,23.12777099609375,145.04593807480074
hidden_max_abs_last_layer_mean,incorrect,7980,110.51229940308076,127.30068969726562,46.333631159441055,26.34155731201172,155.6453855171731
hidden_max_abs_last_layer_mean,format_failure,3137,93.33073645051311,82.46989623552123,35.66464208905307,27.657522583007815,138.23170345785735
hidden_max_abs_last_layer_mean_zscore,correct,3423,-0.16230312727180196,-0.18263764830945,0.9929305909423185,-1.443919434588686,1.1257852998559885
hidden_max_abs_last_layer_mean_zscore,incorrect,7980,0.3189018374043678,0.40522427124868676,0.9657396172487637,-0.9841794076902158,1.472755288569693
hidden_max_abs_last_layer_mean_zscore,format_failure,3137,-0.6338737199492938,-0.6973160809353677,0.7050200609184896,-1.4601064522513982,0.29255988058499227
hidden_std_last_layer_mean,correct,3423,3.5339293063727433,2.226250525796786,1.4424493428726568,2.1723619343580243,5.587231716441836
hidden_std_last_layer_mean,incorrect,7980,4.526101417196263,5.00120239960961,1.2222963614320155,2.1847967967856676,5.646443966723611
hidden_std_last_layer_mean,format_failure,3137,4.718640759766185,4.8555919310459394,1.0874049599939357,2.2120484865270553,5.656548757336151
hidden_std_last_layer_mean_zscore,correct,3423,0.056346061600898674,0.040731065758133955,0.9563656329363804,-1.0263711553811692,1.1881610408103622
hidden_std_last_layer_mean_zscore,incorrect,7980,-0.031157629520282983,0.019686613632420982,1.0709141458566689,-1.391057463940144,1.2345499783678773
hidden_std_last_layer_mean_zscore,format_failure,3137,0.01796551954637856,-0.1021898534366087,0.844468655827341,-0.8832618267801571,1.011642905413678
high_entropy_frac,correct,3423,0.0013935059042993884,0.0,0.0049383844061186176,0.0,0.00390625
high_entropy_frac,incorrect,7980,0.0010205750346227037,0.0,0.004653984934453523,0.0,0.0024515825986414245
high_entropy_frac,format_failure,3137,0.0002752486987045518,0.0,0.001831332450445803,0.0,0.0
high_entropy_steps,correct,3423,0.6310254163014899,0.0,2.3907444448989015,0.0,2.0
high_entropy_steps,incorrect,7980,0.45902255639097744,0.0,2.27205874830545,0.0,1.0
high_entropy_steps,format_failure,3137,0.11826585910105196,0.0,0.8099200338207192,0.0,0.0
inf_detected,correct,3423,0.0,0.0,0.0,0.0,0.0
inf_detected,incorrect,7980,0.0,0.0,0.0,0.0,0.0
inf_detected,format_failure,3137,0.0,0.0,0.0,0.0,0.0
l2_norm_cross_layer_max,correct,3423,347.7204148751966,150.46527099609375,225.5702066135991,148.85238342285157,727.2455078125
l2_norm_cross_layer_max,incorrect,7980,468.78777880561086,472.51060485839844,185.54950216922813,149.71469268798828,722.5987182617188
l2_norm_cross_layer_max,format_failure,3137,521.8540198362896,439.2895202636719,195.0737125571485,150.11724548339845,751.7508911132812
l2_norm_cross_layer_max_zscore,correct,3423,0.000543797953196861,0.07955658411545645,0.8618805595155814,-0.9603308689193814,0.903001984293576
l2_norm_cross_layer_max_zscore,incorrect,7980,0.09251128431099963,0.0036316731902622905,1.1125422782983598,-1.0791144454853276,1.423776454448371
l2_norm_cross_layer_max_zscore,format_failure,3137,-0.23619443979203678,-0.42749302286044205,0.7732346738710434,-1.053825601853411,0.8532128624638424
l2_norm_last_layer_mean,correct,3423,222.28485538904357,142.47718147933483,88.24659175228791,139.03512653742752,356.9853814010985
l2_norm_last_layer_mean,incorrect,7980,281.8344969342988,300.02932180048424,74.67099836249983,139.82897052019834,361.119644108338
l2_norm_last_layer_mean,format_failure,3137,301.3737172986337,304.9315479695797,69.45335140857675,141.56548719108105,362.02614470987214
l2_norm_last_layer_mean_zscore,correct,3423,0.05619396268858507,0.0403931412880834,0.9562189596040604,-1.0259296708377925,1.1899105189923542
l2_norm_last_layer_mean_zscore,incorrect,7980,-0.030928744611752945,0.019750139361870256,1.0710239678513211,-1.3914383257579297,1.2341243943414522
l2_norm_last_layer_mean_zscore,format_failure,3137,0.017549190175403073,-0.1021616103146456,0.8443367860571176,-0.8822593829800899,1.0103592127078287
l2_norm_slope,correct,3423,-0.09424115771880184,-0.004145170107429806,0.4318945120832267,-0.17552166468841207,0.013106065112693913
l2_norm_slope,incorrect,7980,-0.08996604841993586,-0.018760648299200187,0.3260535931232069,-0.24754529746324944,0.05050173139610621
l2_norm_slope,format_failure,3137,-0.0180211650263432,-0.008626853197559606,0.08038519215571009,-0.08529958843568435,0.0295263275382417
late50p_entropy_mean,correct,3423,0.1953023141115007,0.16339486228860103,0.17547835613018936,0.0007092756826401853,0.38975850164471804
late50p_entropy_mean,incorrect,7980,0.22659862715348195,0.1790487801881881,0.19611115395130374,0.029774527223707905,0.4734446702525046
late50p_entropy_mean,format_failure,3137,0.20709695395920727,0.1834589181380162,0.13233675511914184,0.07156734476218722,0.364857181538161
late50p_margin_mean,correct,3423,0.9081274659928186,0.9183262998495645,0.07259825198795189,0.8180077892264755,0.9997850927058607
late50p_margin_mean,incorrect,7980,0.8974310241973719,0.9135904528957326,0.07896685427670638,0.7938700968166813,0.9854367036057671
late50p_margin_mean,format_failure,3137,0.8992253547926529,0.9069107957184315,0.05647384481951195,0.8281529075987295,0.963361185200785
late50p_surprisal_mean,correct,3423,0.19400424866936167,0.15863989354155172,0.18390883863530152,0.0001572137037018944,0.4020428015284079
late50p_surprisal_mean,incorrect,7980,0.22788076499222773,0.17662549881043244,0.20425722762484771,0.020897924818192165,0.4865013404455547
late50p_surprisal_mean,format_failure,3137,0.20578192358826414,0.18278963227455874,0.1406051753757415,0.06085309677447729,0.3752374564708408
margin_diff_std,correct,3423,0.3160261130850432,0.3186104070557933,0.07044114667466077,0.22335218443437427,0.40255225416446866
margin_diff_std,incorrect,7980,0.3075777088358236,0.3106335990698068,0.06894904342399208,0.21667497812277897,0.39427934263707826
margin_diff_std,format_failure,3137,0.3288464371391612,0.33170145844018156,0.0535707064142033,0.25866513307515765,0.3956236479379261
margin_early_late_delta,correct,3419,0.10618321510256021,0.10940945849699135,0.09898634596370406,-0.009200889720366544,0.21998388320779463
margin_early_late_delta,incorrect,7980,0.06652540522667627,0.07446596734409561,0.10843449543744618,-0.06692281616585598,0.1898819565656595
margin_early_late_delta,format_failure,3136,0.10008857518401294,0.1012615345780502,0.08409426412486606,-0.0014523328645932865,0.20131971782694263
margin_max,correct,3423,1.0,1.0,0.0,1.0,1.0
margin_max,incorrect,7980,1.0,1.0,0.0,1.0,1.0
margin_max,format_failure,3137,1.0,1.0,0.0,1.0,1.0
margin_mean,correct,3423,0.8743412388039,0.8822194671501284,0.05750960508630468,0.7972942878084741,0.9427974197754148
margin_mean,incorrect,7980,0.8773298400561511,0.8864899605614482,0.059384510135102174,0.7963127735124396,0.9448398006028136
margin_mean,format_failure,3137,0.8707268429628536,0.8766272186168602,0.04643905588408585,0.8117555667768733,0.9242864645463147
margin_min,correct,3423,0.01961799665388746,0.007339149713516235,0.059343119975884484,0.0,0.04247829318046571
margin_min,incorrect,7980,0.020085839645699002,0.005449414253234863,0.04419893003937355,0.0,0.055174657702446
margin_min,format_failure,3137,0.015499317225877517,0.009403884410858154,0.02119386813470614,0.0,0.03902944326400757
margin_p90,correct,3423,1.0,1.0,0.0,1.0,1.0
margin_p90,incorrect,7980,0.9999985948018263,1.0,0.00012552754128528423,1.0,1.0
margin_p90,format_failure,3137,1.0,1.0,0.0,1.0,1.0
margin_range,correct,3423,0.9803820033461126,0.9926608502864838,0.05934311997588448,0.9575217068195343,1.0
margin_range,incorrect,7980,0.979914160354301,0.9945505857467651,0.04419893003937355,0.944825342297554,1.0
margin_range,format_failure,3137,0.9845006827741225,0.9905961155891418,0.02119386813470614,0.9609705567359924,1.0
margin_slope,correct,3423,0.0005777257666542419,0.00045768717505545827,0.0011553093541627206,-2.8922971272790865e-05,0.0012883771494517355
margin_slope,incorrect,7980,0.0005205783166785478,0.00028000192706377524,0.001603409115893383,-0.0002783257382616308,0.0015471042920348602
