signal,correct,format_failure,incorrect
hidden_max_abs_last_layer_mean_zscore,0.574301270364075,0.881935194015969,0.8965205238760448
hidden_max_abs_last_layer_mean,0.574301270364075,0.881935194015969,0.8965205238760448
l2_norm_cross_layer_max_zscore,0.5921724937922135,0.8517530404899465,0.8749465272306302
l2_norm_cross_layer_max,0.5921724937922135,0.8517530404899465,0.8749465272306302
early10_entropy_slope,0.5867811442021589,0.8241360121698418,0.8462671475389234
early10_margin_slope,0.5929885632694514,0.8145770112949374,0.8396594841962287
concentration_max_mean,0.6024922269474151,0.802194039615042,0.8317009536883522
early10_surprisal_slope,0.5518007541202139,0.7655790527386086,0.7757765937906332
focused_head_mean,0.6033667183277961,0.6859228665337231,0.7206479812065874
focused_head_rate,0.6033667183277961,0.6859228665337231,0.7206479812065874
focused_head_mean_zscore,0.6033667183277961,0.6859228665337231,0.7206479812065874
topk_mass_mean,0.5845085689132276,0.6902912407090668,0.7170811662259946
collapsed_rate_mean,0.5318215655453336,0.7040173089200842,0.7085738600934837
collapsed_rate_mean_zscore,0.5318215655453336,0.7040173089200842,0.7085738600934837
topk_mass_std,0.5922746402643757,0.6718474671122636,0.7026007704912486
l2_norm_slope,0.5113467093771197,0.6950467797999542,0.6822315727398842
warning_density_per_100t,0.5846118176854491,0.6823341819643575,0.6399306847898066
entropy_slope,0.5445964883659578,0.648797597559726,0.6242459433200729
late50p_margin_mean,0.542343754478094,0.6473179844093607,0.6237542657373079
compound_density_per_100t,0.5530955892565427,0.6438918271314957,0.616051165887636
