signal,correct,format_failure,incorrect
focused_head_rate,0.6766692205570564,0.831966977215999,0.8973916805905688
focused_head_mean,0.6766692205570564,0.831966977215999,0.8973916805905688
focused_head_mean_zscore,0.6766692205570564,0.831966977215999,0.8973916805905688
collapsed_rate_mean_zscore,0.6682144123079904,0.8300985008850588,0.8910161517265639
collapsed_rate_mean,0.6682144123079904,0.8300985008850588,0.8910161517265639
attn_entropy_norm_std,0.7041934439872394,0.7979902325260134,0.8820196620155948
early10_entropy_slope,0.6628985775270855,0.8161989465971621,0.8755319174923296
attn_entropy_norm_mean,0.6809277227003429,0.7890522895733706,0.861051975239882
early10_margin_slope,0.6624466930421898,0.7955585215522321,0.8566668620898555
hidden_max_abs_last_layer_mean,0.641137119695999,0.7908809822730911,0.8406265878134099
hidden_max_abs_last_layer_mean_zscore,0.641137119695999,0.7908809822730911,0.8406265878134099
early10_surprisal_slope,0.634070989346314,0.7852491437208224,0.8316275026382131
concentration_max_mean,0.576078963648893,0.7486923882232326,0.7664869994723573
early25p_margin_mean,0.6243166691985408,0.690138839794195,0.7404418212952649
early25p_entropy_mean,0.621926800217521,0.669885754954501,0.720850951955209
early25p_surprisal_mean,0.6323812385928065,0.6601162494633442,0.717840213450978
margin_early_late_delta,0.5808706367131107,0.6831118451505169,0.7099681409570178
early50p_margin_mean,0.6114569504347118,0.6549594443970427,0.7015814621562995
entropy_early_late_delta,0.585347482758279,0.6694271081475437,0.7001140790817948
surprisal_early_late_delta,0.5969946603796648,0.6613579081413088,0.6993017162577662
