signal,correct,format_failure,incorrect
concentration_min_mean,0.5644746932006633,0.767979836449828,0.5166929055629008
concentration_max_mean,0.5257653067993366,0.7594493418669243,0.5632136088162691
focused_head_mean_zscore,0.5057602653399669,0.7198529844345567,0.5390994581540554
focused_head_mean,0.5057602653399669,0.7198529844345567,0.5390994581540554
focused_head_rate,0.5057602653399669,0.7198529844345567,0.5390994581540554
attn_entropy_norm_mean,0.5972574461028193,0.7080991704829406,0.6196402914810201
entropy_range,0.6923544941956883,0.5607368117934475,0.6825021112121605
perplexity_max,0.6923544941956883,0.5607368117934475,0.6825021112121605
entropy_max,0.6923544941956883,0.5607368117934475,0.6825021112121605
collapsed_rate_mean,0.5209666334991707,0.689209775853901,0.5103162805982469
collapsed_rate_mean_zscore,0.5209666334991707,0.689209775853901,0.5103162805982469
entropy_range_approx,0.6873117081260365,0.5437996773584264,0.6753504994306414
attn_entropy_norm_std,0.5617570812603648,0.6821856644341852,0.527481581823323
topk_mass_mean,0.6730499502487562,0.6336082908356788,0.6763678935261256
topk_mass_std,0.6720597014925374,0.6303091104443599,0.6749676631078572
compound_density_per_100t,0.6685598673300166,0.6539328521577041,0.6279700265191175
l2_norm_slope,0.6656318407960199,0.5468031545799931,0.6418605606462411
surprisal_range,0.660738175787728,0.5652637022036853,0.6547434924989874
surprisal_max,0.660738175787728,0.5652637022036853,0.6547434924989874
entropy_std,0.6459409618573797,0.6089193984375726,0.6481593286918509
