model,outcome,signal,raw_auroc,predictive_power,direction,n_total,n_outcome
llama,correct,attention_collapse_detected,0.4929821270132147,0.5070178729867854,lower,3640,1773
llama,correct,attn_entropy_norm_mean,0.6706153814085049,0.6706153814085049,higher,3640,1773
llama,correct,attn_entropy_norm_std,0.3754281852618172,0.6245718147381828,lower,3640,1773
llama,correct,collapsed_rate_mean,0.32609538241146807,0.6739046175885319,lower,3640,1773
llama,correct,collapsed_rate_mean_zscore,0.32609538241146807,0.6739046175885319,lower,3640,1773
llama,correct,compound_density_per_100t,0.5675232939730668,0.5675232939730668,higher,3640,1773
llama,correct,concentration_max_mean,0.5141822631987096,0.5141822631987096,higher,3640,1773
llama,correct,concentration_min_mean,0.470598826472551,0.529401173527449,lower,3640,1773
llama,correct,cs_confident_repetition_risk,0.4800082533001872,0.5199917466998127,lower,3640,1773
llama,correct,early10_entropy_mean,0.5407461382137768,0.5407461382137768,higher,3640,1773
llama,correct,early10_entropy_slope,0.5034501030303085,0.5034501030303085,higher,3640,1773
llama,correct,early10_margin_mean,0.44462237979621116,0.5553776202037888,lower,3640,1773
llama,correct,early10_margin_slope,0.5045439976122224,0.5045439976122224,higher,3640,1773
llama,correct,early10_surprisal_mean,0.5091920677688991,0.5091920677688991,higher,3640,1773
llama,correct,early10_surprisal_slope,0.556599604071185,0.556599604071185,higher,3640,1773
llama,correct,early25p_entropy_mean,0.5892499858769479,0.5892499858769479,higher,3640,1773
llama,correct,early25p_entropy_slope,0.4113699179292071,0.5886300820707929,lower,3640,1773
llama,correct,early25p_margin_mean,0.3918547298328103,0.6081452701671897,lower,3640,1773
llama,correct,early25p_margin_slope,0.5830503436206551,0.5830503436206551,higher,3640,1773
llama,correct,early25p_surprisal_mean,0.5766869645890524,0.5766869645890524,higher,3640,1773
llama,correct,early25p_surprisal_slope,0.43697689952029956,0.5630231004797004,lower,3640,1773
llama,correct,early50p_entropy_mean,0.5772775649501796,0.5772775649501796,higher,3640,1773
llama,correct,early50p_entropy_slope,0.39868545349800055,0.6013145465019994,lower,3640,1773
llama,correct,early50p_margin_mean,0.3995086688351216,0.6004913311648784,lower,3640,1773
llama,correct,early50p_margin_slope,0.6028205018985309,0.6028205018985309,higher,3640,1773
llama,correct,early50p_surprisal_mean,0.5701266180712834,0.5701266180712834,higher,3640,1773
llama,correct,early50p_surprisal_slope,0.42055126124142084,0.5794487387585792,lower,3640,1773
