model,signal,outcome,mean,median,std,n
llama,focused_head_mean,correct,4.866781371283243,4.7622863247863245,0.4542115072433938,1773
llama,focused_head_mean,incorrect,5.288997260922636,5.310760498046875,0.5245390155645675,1508
llama,focused_head_mean,format_failure,4.67150468843211,4.653097181008902,0.22617836314217094,359
llama,focused_head_rate,correct,0.15208691785260134,0.14882144764957264,0.014194109601356057,1773
llama,focused_head_rate,incorrect,0.16528116440383236,0.16596126556396484,0.016391844236392734,1508
llama,focused_head_rate,format_failure,0.14598452151350344,0.14540928690652818,0.007068073848192842,359
llama,focused_head_mean_zscore,correct,-0.29800422584580405,-0.4980572223994747,0.8695758903354425,1773
llama,focused_head_mean_zscore,incorrect,0.5103169027296686,0.5519820433020564,1.004216040768019,1508
llama,focused_head_mean_zscore,format_failure,-0.6718562587513278,-0.7070969437650938,0.43301248067802417,359
llama,hidden_max_abs_last_layer_mean,correct,25.23664353697188,25.32686271834061,2.3598805827084326,1773
llama,hidden_max_abs_last_layer_mean,incorrect,25.994987881074,26.233779907226562,2.248060728687978,1508
llama,hidden_max_abs_last_layer_mean,format_failure,25.184727937302277,25.18918731508876,2.1922104349142875,359
llama,hidden_max_abs_last_layer_mean_zscore,correct,-0.13274203980310728,-0.09399154586261094,1.0136041674640173,1773
llama,hidden_max_abs_last_layer_mean_zscore,incorrect,0.19297825010769964,0.2955430131889002,0.9655758600696367,1508
llama,hidden_max_abs_last_layer_mean_zscore,format_failure,-0.15504056989275486,-0.15312520013133923,0.9415873197435278,359
llama,collapsed_rate_mean,correct,0.01000145529211025,0.008824578857421876,0.00340426925565273,1773
llama,collapsed_rate_mean,incorrect,0.012774521434107103,0.012528826904296873,0.0038736979455194828,1508
llama,collapsed_rate_mean,format_failure,0.008764596382918563,0.008420975783475785,0.0018141507191706176,359
llama,collapsed_rate_mean_zscore,correct,-0.26999985976498203,-0.5794462186663545,0.8951141299388534,1773
llama,collapsed_rate_mean_zscore,incorrect,0.45914654451392173,0.39454394443561164,1.018545099037638,1508
llama,collapsed_rate_mean_zscore,format_failure,-0.5952179324893605,-0.6855690859383888,0.4770104303212625,359
llama,attn_entropy_norm_std,correct,0.13334658410678307,0.13358435060244703,0.004875892916521295,1773
llama,attn_entropy_norm_std,incorrect,0.1364159323884214,0.13667022161759917,0.005540899350708792,1508
llama,attn_entropy_norm_std,format_failure,0.13245297134759326,0.1327694679204283,0.0046851100808325795,359
llama,early10_entropy_slope,correct,-0.04698174746160395,-0.04668912544902863,0.08928104965417051,1773
llama,early10_entropy_slope,incorrect,-0.04280581344591794,-0.048310447917200905,0.08318777604962346,1508
llama,early10_entropy_slope,format_failure,-0.06512827082515472,-0.0513782633686513,0.09733546977506428,359
llama,l2_norm_cross_layer_max,correct,149.4293928495989,149.7010040283203,0.8676845409182644,1773
llama,l2_norm_cross_layer_max,incorrect,149.27535376308452,149.6685562133789,1.148269892823697,1508
llama,l2_norm_cross_layer_max,format_failure,149.23983828403823,149.50167846679688,0.8974435479261073,359
llama,l2_norm_cross_layer_max_zscore,correct,0.08257543670645355,0.35439783196938585,0.868359289758626,1773
llama,l2_norm_cross_layer_max_zscore,incorrect,-0.07158343723078493,0.3219247842106693,1.1491628369088651,1508
llama,l2_norm_cross_layer_max_zscore,format_failure,-0.10712653464199927,0.15491726631120828,0.8981414386510155,359
llama,attn_entropy_norm_mean,correct,0.3538503790645862,0.3556965553896134,0.014349197096511673,1773
llama,attn_entropy_norm_mean,incorrect,0.3409410513766737,0.34047875998851396,0.01595705907088059,1508
llama,attn_entropy_norm_mean,format_failure,0.359571664643176,0.35965778211129873,0.009049861861872238,359
llama,early10_margin_slope,correct,0.015061464558569715,0.016278609814065873,0.03622056727756716,1773
llama,early10_margin_slope,incorrect,0.014322562831760977,0.01712368220993967,0.03277019757550608,1508
llama,early10_margin_slope,format_failure,0.016500862869138083,0.014826841426618172,0.036906114872518145,359
llama,concentration_max_mean,correct,0.9211283584067486,0.9209167063236237,0.005150776762582609,1773
llama,concentration_max_mean,incorrect,0.9212454140489601,0.9208783805370331,0.005150074435488246,1508
llama,concentration_max_mean,format_failure,0.9196413402826586,0.9194018244743347,0.0047066763546114165,359
llama,early10_surprisal_slope,correct,-0.03358878348417683,-0.02570526976431503,0.1349256585383726,1773
llama,early10_surprisal_slope,incorrect,-0.053840616759413325,-0.046468877902980675,0.11880177279879056,1508
llama,early10_surprisal_slope,format_failure,-0.05851951254937998,-0.026446145894570054,0.15527116762037033,359
llama,concentration_min_mean,correct,0.20594278470409558,0.20521907843360604,0.019736640457462144,1773
llama,concentration_min_mean,incorrect,0.20987381172856415,0.2092640979681164,0.01935257410270475,1508
llama,concentration_min_mean,format_failure,0.20101860770832225,0.1972665679641068,0.017316407803307978,359
llama,early25p_margin_mean,correct,0.8002914046722792,0.8041587475687265,0.08091503451069769,1773
llama,early25p_margin_mean,incorrect,0.8453389270646658,0.8640842833556235,0.08280549388947325,1508
llama,early25p_margin_mean,format_failure,0.7516614028644679,0.7627207635669038,0.07777544611967152,359
llama,early25p_entropy_mean,correct,0.43984492545208176,0.4079850480895376,0.20558299818261677,1773
llama,early25p_entropy_mean,incorrect,0.35362754944627395,0.29847572492993424,0.21318098881307704,1508
llama,early25p_entropy_mean,format_failure,0.5575142100974138,0.5119401711753697,0.22234460862028188,359
llama,early25p_surprisal_mean,correct,0.4386881406250135,0.40109533765049143,0.22062927138131433,1773
llama,early25p_surprisal_mean,incorrect,0.3590033985600895,0.3046709251485012,0.22870291907460016,1508
llama,early25p_surprisal_mean,format_failure,0.5536562095133727,0.5086382685356715,0.24128022796202644,359
llama,topk_mass_mean,correct,0.998841551324274,0.999610043480061,0.002533213048889915,1773
llama,topk_mass_mean,incorrect,0.9981159983373106,0.9991288601304404,0.004666360068279696,1508
llama,topk_mass_mean,format_failure,0.999019153449721,0.9996315612224862,0.001609435763548759,359
mistral7b,focused_head_mean,correct,0.7647712469402546,0.7617276887871853,0.1165927555049783,423
mistral7b,focused_head_mean,incorrect,0.7200891843075815,0.6902926974826389,0.1831641310161632,1772
mistral7b,focused_head_mean,format_failure,0.7622287664657217,0.762447033898305,0.06311999909989403,1445
mistral7b,focused_head_rate,correct,0.023899101466882955,0.02380399027459954,0.003643523609530572,423
mistral7b,focused_head_rate,incorrect,0.022502787009611922,0.021571646796332465,0.0057238790942551,1772
mistral7b,focused_head_rate,format_failure,0.023819648952053803,0.023826469809322032,0.0019724999718716885,1445
mistral7b,focused_head_mean_zscore,correct,0.16118205165362698,0.13962921003657247,0.8256471756784212,423
mistral7b,focused_head_mean_zscore,incorrect,-0.1552322800633875,-0.36623497131638477,1.2970698462704249,1772
mistral7b,focused_head_mean_zscore,format_failure,0.1431775726109635,0.14472322515579406,0.44698187944813417,1445
mistral7b,hidden_max_abs_last_layer_mean,correct,84.39870382563046,81.3601814516129,11.216622278151693,423
mistral7b,hidden_max_abs_last_layer_mean,incorrect,97.65664781532777,99.21384099460965,11.443704390741711,1772
mistral7b,hidden_max_abs_last_layer_mean,format_failure,77.2145660375137,76.89939839572193,5.720212848814435,1445
mistral7b,hidden_max_abs_last_layer_mean_zscore,correct,-0.265258549947269,-0.48900922325232954,0.8259694937268431,423
mistral7b,hidden_max_abs_last_layer_mean_zscore,incorrect,0.7110297669339511,0.8256983391681848,0.8426913635481835,1772
mistral7b,hidden_max_abs_last_layer_mean_zscore,format_failure,-0.7942840002624684,-0.8174923112026428,0.4212249635924795,1445
mistral7b,collapsed_rate_mean,correct,0.0016517256809969777,0.0015450506756756756,0.0004153997689658361,423
mistral7b,collapsed_rate_mean,incorrect,0.0018662940870038413,0.0017808677175864677,0.000520723539277028,1772
mistral7b,collapsed_rate_mean,format_failure,0.0014978884750166156,0.00148015625,0.0002448676679803055,1445
mistral7b,collapsed_rate_mean_zscore,correct,-0.09565772995051104,-0.330862295035459,0.9159026681247041,423
mistral7b,collapsed_rate_mean_zscore,incorrect,0.3774378041327399,0.1890837280763954,1.1481279350889422,1772
mistral7b,collapsed_rate_mean_zscore,format_failure,-0.43484883678487923,-0.47394609542067295,0.5399014809251883,1445
mistral7b,attn_entropy_norm_std,correct,0.10634443053567803,0.10670960178834107,0.003407319971633593,423
