model,signal,best_outcome,best_pp,mean_other_pp,specificity_gap,pp_correct,pp_incorrect,pp_format_failure,dir_correct,dir_incorrect,dir_format_failure
llama,attention_collapse_detected,incorrect,0.5098418192404736,0.5070795494341107,0.0027622698063628492,0.5070178729867854,0.5098418192404736,0.5071412258814361,lower,higher,lower
llama,attn_entropy_norm_mean,incorrect,0.7542770639142833,0.6925960878995501,0.06168097601473321,0.6706153814085049,0.7542770639142833,0.7145767943905954,higher,lower,higher
llama,attn_entropy_norm_std,incorrect,0.672238057439746,0.6223084139253676,0.04992964351437834,0.6245718147381828,0.672238057439746,0.6200450131125523,lower,higher,lower
llama,collapsed_rate_mean,incorrect,0.7520827008923018,0.6866240492701552,0.06545865162214659,0.6739046175885319,0.7520827008923018,0.6993434809517786,lower,higher,lower
llama,collapsed_rate_mean_zscore,incorrect,0.7520827008923018,0.6866240492701552,0.06545865162214659,0.6739046175885319,0.7520827008923018,0.6993434809517786,lower,higher,lower
llama,compound_density_per_100t,incorrect,0.5764182645652206,0.5431743285947461,0.03324393597047448,0.5675232939730668,0.5764182645652206,0.5188253632164255,higher,lower,higher
llama,concentration_max_mean,format_failure,0.588296420939672,0.5159644607108851,0.07233196022878696,0.5141822631987096,0.5177466582230605,0.588296420939672,higher,higher,lower
llama,concentration_min_mean,format_failure,0.6024048310565007,0.5485948641884412,0.0538099668680595,0.529401173527449,0.5677885548494334,0.6024048310565007,lower,higher,lower
llama,cs_confident_repetition_risk,incorrect,0.5231367665135537,0.5134807389430616,0.00965602757049211,0.5199917466998127,0.5231367665135537,0.5069697311863103,lower,higher,lower
llama,early10_entropy_mean,format_failure,0.6799476007297863,0.5743120984737174,0.10563550225606888,0.5407461382137768,0.6078780587336581,0.6799476007297863,higher,lower,higher
llama,early10_entropy_slope,format_failure,0.5424105532062291,0.5077177931656884,0.03469276004054067,0.5034501030303085,0.5119854833010684,0.5424105532062291,higher,higher,lower
llama,early10_margin_mean,format_failure,0.6848674609191606,0.5900612851069954,0.09480617581216522,0.5553776202037888,0.624744950010202,0.6848674609191606,lower,higher,lower
llama,early10_margin_slope,incorrect,0.5053205916164446,0.5031483621677129,0.002172229448731744,0.5045439976122224,0.5053205916164446,0.5017527267232034,higher,lower,higher
llama,early10_surprisal_mean,format_failure,0.6314086591237301,0.5333997312383992,0.09800892788533089,0.5091920677688991,0.5576073947078993,0.6314086591237301,higher,lower,higher
llama,early10_surprisal_slope,correct,0.556599604071185,0.5309671677520944,0.025632436319090623,0.556599604071185,0.5561582753146446,0.5057760601895441,higher,lower,lower
llama,early25p_entropy_mean,format_failure,0.7167654742125464,0.6302779333538198,0.08648754085872667,0.5892499858769479,0.6713058808306915,0.7167654742125464,higher,lower,higher
llama,early25p_entropy_slope,incorrect,0.6395232306995585,0.6101929877514853,0.029330242948073182,0.5886300820707929,0.6395232306995585,0.6317558934321776,lower,higher,lower
llama,early25p_margin_mean,format_failure,0.7351086147218857,0.6528129058595937,0.08229570886229198,0.6081452701671897,0.6974805415519978,0.7351086147218857,lower,higher,lower
llama,early25p_margin_slope,incorrect,0.6279150347614474,0.5994010232347947,0.02851401152665267,0.5830503436206551,0.6279150347614474,0.6157517028489343,higher,lower,higher
llama,early25p_surprisal_mean,format_failure,0.6969162367272019,0.613893021711569,0.08302321501563292,0.5766869645890524,0.6510990788340856,0.6969162367272019,higher,lower,higher
llama,early25p_surprisal_slope,format_failure,0.6052166648696513,0.5832293119211398,0.021987352948511507,0.5630231004797004,0.6034355233625791,0.6052166648696513,lower,higher,lower
llama,early50p_entropy_mean,format_failure,0.6818663037544603,0.6117354874780508,0.07013081627640949,0.5772775649501796,0.6461934100059221,0.6818663037544603,higher,lower,higher
llama,early50p_entropy_slope,incorrect,0.6539161370750619,0.6183545919059719,0.03556154516909005,0.6013145465019994,0.6539161370750619,0.6353946373099444,lower,higher,lower
llama,early50p_margin_mean,format_failure,0.7120875743603545,0.640828691196923,0.07125888316343154,0.6004913311648784,0.6811660512289677,0.7120875743603545,lower,higher,lower
llama,early50p_margin_slope,incorrect,0.6502779422815652,0.6120261970693677,0.03825174521219754,0.6028205018985309,0.6502779422815652,0.6212318922402046,higher,lower,higher
llama,early50p_surprisal_mean,format_failure,0.6665243204098213,0.6016683697250977,0.0648559506847236,0.5701266180712834,0.6332101213789122,0.6665243204098213,higher,lower,higher
llama,early50p_surprisal_slope,incorrect,0.6235962919463922,0.5967669433618463,0.026829348584545887,0.5794487387585792,0.6235962919463922,0.6140851479651136,lower,higher,lower
llama,entropy_diff_std,format_failure,0.5649790852880474,0.5132121751047628,0.05176691018328461,0.5012901068246515,0.5251342433848741,0.5649790852880474,higher,lower,higher
llama,entropy_early_late_delta,format_failure,0.6448234496073026,0.5966796563948356,0.04814379321246709,0.5691278841613672,0.6242314286283038,0.6448234496073026,lower,higher,lower
llama,entropy_max,incorrect,0.6471100347863303,0.6027037972340203,0.04440623755230999,0.608343294994156,0.6471100347863303,0.5970642994738848,lower,higher,lower
llama,entropy_mean,format_failure,0.6370594942264869,0.5753483693583137,0.061711124868173206,0.549509076666573,0.6011876620500545,0.6370594942264869,higher,lower,higher
llama,entropy_p90,format_failure,0.6470656153985257,0.5854278061505107,0.061637809248014985,0.5576353449091004,0.6132202673919209,0.6470656153985257,higher,lower,higher
llama,entropy_range,incorrect,0.6471100347863303,0.6027037972340203,0.04440623755230999,0.608343294994156,0.6471100347863303,0.5970642994738848,lower,higher,lower
llama,entropy_range_approx,incorrect,0.6694157115770301,0.6243082582197808,0.045107453357249305,0.6181069309897828,0.6694157115770301,0.6305095854497789,lower,higher,lower
llama,entropy_slope,incorrect,0.6736927754913135,0.6287708465971951,0.04492192889411839,0.6196255744759139,0.6736927754913135,0.6379161187184762,lower,higher,lower
llama,entropy_std,format_failure,0.5742601744321785,0.522801495474254,0.05145867895792444,0.5090642805807882,0.5365387103677198,0.5742601744321785,higher,lower,higher
llama,failure_risk,incorrect,0.5303069371108933,0.5159447599828588,0.014362177128034448,0.528080554868284,0.5303069371108933,0.5038089650974337,higher,lower,higher
llama,failure_risk_is_zero,incorrect,0.521284854758362,0.5126181731698531,0.008666681588508807,0.5181524268539187,0.521284854758362,0.5070839194857877,lower,higher,lower
llama,focused_head_mean,incorrect,0.7567804417714652,0.6970276312228127,0.059752810548652446,0.6694939959657917,0.7567804417714652,0.7245612664798337,lower,higher,lower
llama,focused_head_mean_zscore,incorrect,0.7567804417714652,0.6970276312228127,0.059752810548652446,0.6694939959657917,0.7567804417714652,0.7245612664798337,lower,higher,lower
llama,focused_head_rate,incorrect,0.7567804417714652,0.6970276312228127,0.059752810548652446,0.6694939959657917,0.7567804417714652,0.7245612664798337,lower,higher,lower
llama,hidden_max_abs_last_layer_mean,incorrect,0.5982922225927013,0.5665466747491623,0.031745547843539,0.5746828506270484,0.5982922225927013,0.5584104988712763,lower,higher,lower
llama,hidden_max_abs_last_layer_mean_zscore,incorrect,0.5982922225927013,0.5665466747491623,0.031745547843539,0.5746828506270484,0.5982922225927013,0.5584104988712763,lower,higher,lower
llama,hidden_std_last_layer_mean,incorrect,0.6173656073175708,0.579795536260397,0.037570071057173804,0.5888040901567311,0.6173656073175708,0.5707869823640629,higher,lower,higher
llama,hidden_std_last_layer_mean_zscore,incorrect,0.6173656073175708,0.579795536260397,0.037570071057173804,0.5888040901567311,0.6173656073175708,0.5707869823640629,higher,lower,higher
