model,dataset,signal,direction,random_acc,signal_acc,oracle_acc,lift_vs_random,lift_vs_oracle,n_prompts,n_ties,tie_rate
llama,gsm8k,attention_collapse_detected,lower_better,0.8083561871519985,0.8101013878500788,1.0,0.0017452006980802626,-0.1898986121499212,191,191,1.0
llama,gsm8k,attn_entropy_norm_mean,higher_better,0.8083561871519985,0.7853403141361257,1.0,-0.023015873015872823,-0.2146596858638743,191,0,0.0
llama,gsm8k,attn_entropy_norm_std,lower_better,0.8083561871519985,0.8272251308900523,1.0,0.01886894373805381,-0.17277486910994766,191,0,0.0
llama,gsm8k,collapsed_rate_mean,lower_better,0.8083561871519985,0.8324607329842932,1.0,0.02410454583229471,-0.16753926701570676,191,0,0.0
llama,gsm8k,collapsed_rate_mean_zscore,lower_better,0.8083561871519985,0.8324607329842932,1.0,0.02410454583229471,-0.16753926701570676,191,0,0.0
llama,gsm8k,compound_density_per_100t,higher_better,0.8083561871519985,0.8174104545832295,1.0,0.009054267431230945,-0.18258954541677053,191,16,0.08376963350785341
llama,gsm8k,concentration_max_mean,higher_better,0.8083561871519985,0.7958115183246073,1.0,-0.012544668827391248,-0.20418848167539272,191,0,0.0
llama,gsm8k,concentration_min_mean,higher_better,0.8083561871519985,0.7853403141361257,1.0,-0.023015873015872823,-0.2146596858638743,191,0,0.0
llama,gsm8k,cs_confident_repetition_risk,higher_better,0.8083561871519985,0.8151126069974234,1.0,0.006756419845424855,-0.18488739300257662,191,191,1.0
llama,gsm8k,early10_entropy_mean,lower_better,0.8083561871519985,0.830715532286213,1.0,0.022359345134214448,-0.16928446771378702,191,28,0.14659685863874344
llama,gsm8k,early10_entropy_slope,higher_better,0.8083561871519985,0.8350785340314136,1.0,0.026722346879415104,-0.16492146596858637,191,4,0.020942408376963352
llama,gsm8k,early10_margin_mean,higher_better,0.8083561871519985,0.7958115183246073,1.0,-0.012544668827391248,-0.20418848167539272,191,23,0.12041884816753927
llama,gsm8k,early10_margin_slope,lower_better,0.8083561871519985,0.8769633507853403,1.0,0.06860716363334174,-0.12303664921465973,191,5,0.02617801047120419
llama,gsm8k,early10_surprisal_mean,lower_better,0.8083561871519985,0.8115183246073299,1.0,0.0031621374553313375,-0.18848167539267013,191,26,0.13612565445026178
