model,dataset,temperature,signal,predictive_power,n
llama,gsm8k,0.7,entropy_mean,0.6398094957529337,812
llama,gsm8k,0.7,surprisal_mean,0.6349781509304266,812
llama,gsm8k,0.7,margin_mean,0.6276918544704669,812
llama,gsm8k,0.7,risk_score,0.5563411400795404,812
llama,gsm8k,0.7,l2_norm_slope,0.5233858692983748,812
llama,gsm8k,0.7,compound_density_per_100t,0.5613443315166691,812
llama,gsm8k,0.7,early10_surprisal_mean,0.5397309373005352,812
llama,gsm8k,0.7,early10_entropy_mean,0.5436588599204595,812
llama,gsm8k,0.7,concentration_min_mean,0.5186036235086169,812
llama,gsm8k,0.7,focused_head_rate,0.516777139490352,812
llama,gsm8k,0.8,entropy_mean,0.6515787051785777,829
llama,gsm8k,0.8,surprisal_mean,0.6493221478885702,829
llama,gsm8k,0.8,margin_mean,0.6343669250645995,829
llama,gsm8k,0.8,risk_score,0.5738557927153021,829
llama,gsm8k,0.8,l2_norm_slope,0.5008495274503557,829
llama,gsm8k,0.8,compound_density_per_100t,0.5551971611624369,829
llama,gsm8k,0.8,early10_surprisal_mean,0.6055493610845634,829
llama,gsm8k,0.8,early10_entropy_mean,0.6070670064776469,829
llama,gsm8k,0.8,concentration_min_mean,0.5576351279600722,829
llama,gsm8k,0.8,focused_head_rate,0.5173091218009982,829
llama,humaneval,0.7,entropy_mean,0.521171702284451,820
llama,humaneval,0.7,surprisal_mean,0.5224170965364776,820
llama,humaneval,0.7,margin_mean,0.5105895357406043,820
llama,humaneval,0.7,risk_score,0.5267464996315401,820
llama,humaneval,0.7,l2_norm_slope,0.565711127487104,820
llama,humaneval,0.7,compound_density_per_100t,0.5034708916728077,820
llama,humaneval,0.7,early10_surprisal_mean,0.5371039056742815,820
llama,humaneval,0.7,early10_entropy_mean,0.530445836403832,820
llama,humaneval,0.7,concentration_min_mean,0.536617538688283,820
llama,humaneval,0.7,focused_head_rate,0.5994436256448048,820
llama,humaneval,0.8,entropy_mean,0.5100377570397299,820
llama,humaneval,0.8,surprisal_mean,0.5083826539282839,820
llama,humaneval,0.8,margin_mean,0.502774514367625,820
llama,humaneval,0.8,risk_score,0.5030663740680809,820
llama,humaneval,0.8,l2_norm_slope,0.5607474563872942,820
llama,humaneval,0.8,compound_density_per_100t,0.5080649332417115,820
llama,humaneval,0.8,early10_surprisal_mean,0.5970932251605228,820
llama,humaneval,0.8,early10_entropy_mean,0.5977286665336673,820
llama,humaneval,0.8,concentration_min_mean,0.5279040040195361,820
llama,humaneval,0.8,focused_head_rate,0.53643812943793,820
mistral7b,gsm8k,0.7,entropy_mean,0.6662633595482961,287
mistral7b,gsm8k,0.7,surprisal_mean,0.6615245009074411,287
