model,dataset,signal,mean_temp_0.7,mean_temp_0.8,temp_delta
llama,gsm8k,attention_collapse_detected,0.0012315270935960591,0.0024125452352231603,0.0011810181416271011
llama,gsm8k,attn_entropy_norm_mean,0.35867150248058394,0.35918120632471046,0.0005097038441265189
llama,gsm8k,attn_entropy_norm_std,0.13252039822079836,0.13233162466436593,-0.0001887735564324311
llama,gsm8k,collapsed_rate_mean,0.009086117832530199,0.00889939270678655,-0.00018672512574364857
llama,gsm8k,collapsed_rate_mean_zscore,-0.5106775007512087,-0.5597747624293838,-0.049097261678175186
llama,gsm8k,compound_density_per_100t,0.2743531903707085,0.252916298771224,-0.021436891599484476
llama,gsm8k,concentration_max_mean,0.9209695044410727,0.9203005843259077,-0.0006689201151650614
llama,gsm8k,concentration_min_mean,0.20436564643416952,0.20379928082190624,-0.000566365612263281
llama,gsm8k,cs_attention_bottleneck,0.0,0.0,0.0
llama,gsm8k,cs_confident_confusion,0.0,0.0,0.0
llama,gsm8k,cs_confident_repetition_risk,0.8879310344827587,0.8468033775633294,-0.04112765691942932
llama,gsm8k,cs_context_loss,0.0,0.0,0.0
llama,gsm8k,cs_degenerating_generation,0.0,0.0,0.0
llama,gsm8k,early10_entropy_mean,0.7966217093145387,0.9728061869344287,0.17618447761988998
llama,gsm8k,early10_entropy_slope,-0.034724588944458255,-0.062423498317780525,-0.02769890937332227
llama,gsm8k,early10_margin_mean,0.6597004690097433,0.6151894451715546,-0.044511023838188724
llama,gsm8k,early10_margin_slope,0.010395708900951,0.01995590403357388,0.00956019513262288
llama,gsm8k,early10_surprisal_mean,0.7708796290918145,0.9694917440690932,0.1986121149772787
llama,gsm8k,early10_surprisal_slope,-0.011058111323618544,-0.04972618687844032,-0.038668075554821775
llama,gsm8k,early25p_entropy_mean,0.4444085127528118,0.5758098392173471,0.13140132646453528
llama,gsm8k,early25p_entropy_slope,-0.00624762004283164,-0.007130366165390198,-0.0008827461225585581
llama,gsm8k,early25p_margin_mean,0.7900811856844481,0.746661072932757,-0.04342011275169111
llama,gsm8k,early25p_margin_slope,0.0023849739786930934,0.002492839980731071,0.00010786600203797772
llama,gsm8k,early25p_surprisal_mean,0.4409362862785107,0.5778079015093188,0.1368716152308081
llama,gsm8k,early25p_surprisal_slope,-0.005835197093320813,-0.007228854039623937,-0.0013936569463031236
llama,gsm8k,early50p_entropy_mean,0.3618381989316263,0.46692700156528844,0.10508880263366216
llama,gsm8k,early50p_entropy_slope,-0.0027016138104193174,-0.003260025207694544,-0.0005584113972752266
llama,gsm8k,early50p_margin_mean,0.8263840779019515,0.79020892601266,-0.036175151889291435
llama,gsm8k,early50p_margin_slope,0.0011228701350771467,0.0012549910111544365,0.00013212087607728982
llama,gsm8k,early50p_surprisal_mean,0.3624466346281508,0.46579389802871696,0.10334726340056616
llama,gsm8k,early50p_surprisal_slope,-0.0025374515639834147,-0.003392777432796685,-0.0008553258688132701
llama,gsm8k,entropy_diff_std,0.631474561410873,0.7347002878978989,0.10322572648702588
llama,gsm8k,entropy_early_late_delta,-0.2818711955524623,-0.3336863720586234,-0.051815176506161076
llama,gsm8k,entropy_max,2.9324278773058077,3.3276536121287124,0.3952257348229047
llama,gsm8k,entropy_mean,0.26705104484665915,0.36330452211021363,0.09625347726355449
llama,gsm8k,entropy_min,0.0,0.0,0.0
llama,gsm8k,entropy_p90,0.9797945356314693,1.271216075211194,0.2914215395797247
llama,gsm8k,entropy_range,2.9324278773058077,3.3276536121287124,0.3952257348229047
llama,gsm8k,entropy_range_approx,2.6653768324591485,2.964349090018499,0.2989722575593503
llama,gsm8k,entropy_slope,-0.0011072763969758933,-0.0012964649573269853,-0.000189188560351092
llama,gsm8k,entropy_std,0.5312830564414793,0.6398029103558353,0.10851985391435592
llama,gsm8k,failure_risk,0.1730295566502463,0.19975874547647768,0.026729188826231376
